Район,К-сть кімнат,Вибірка квартир,"Сер. заг пл., кв.м","Сер. ціна, грн","Сер. ціна, грн/кв.м",Зміна в %,"Сер. ціна, $","Сер. ціна, $/кв.м",Зміна в %
Загалом по Києву,,12 087,75,2 690 835,34 359,"-1,2",105 730,1 350,"1,4"
,1-кімн.,2 871,43,1 491 056,33 545,"-0,4",58 588,1 318,"2,3"
,2-кімн.,3 843,67,2 400 670,35 184,"-2,0",94 329,1 382,"0,6"
,3-кімн.,4 260,92,3 280 728,34 014,"-0,9",128 909,1 337,"1,7"
,4-кімн.,1 113,124,4 529 767,34 926,"-1,3",177 987,1 372,"1,3"
Голосіївський,,1 740,75,2 637 150,33 550,"-0,8",103 621,1 318,"1,8"
,1-кімн.,498,44,1 415 337,31 058,"-1,2",55 612,1 220,"1,4"
,2-кімн.,548,69,2 451 657,34 833,"-0,3",96 332,1 369,"2,4"
,3-кімн.,545,95,3 330 288,33 879,"-1,2",130 856,1 331,"1,4"
,4-кімн.,149,131,4 867 712,35 955,"0,0",191 266,1 413,"2,6"
Дарницький,,1 731,74,1 955 086,26 469,"-1,9",76 821,1 040,"0,7"
,1-кімн.,442,43,1 212 434,27 864,"-1,9",47 640,1 095,"0,7"
,2-кімн.,534,68,1 835 453,26 888,"-1,4",72 120,1 056,"1,2"
,3-кімн.,603,91,2 337 613,25 404,"-2,5",91 851,998,"0,1"
,4-кімн.,152,118,3 017 399,25 170,"-0,1",118 562,989,"2,5"
Деснянський,,572,67,1 438 026,21 814,"-2,8",56 504,857,"-0,2"
,1-кімн.,122,38,914 879,23 605,"-2,9",35 948,928,"-0,3"
,2-кімн.,144,61,1 419 509,23 372,"-2,3",55 776,918,"0,2"
,3-кімн.,247,78,1 637 002,20 773,"-2,6",64 322,816,"0,0"
,4-кімн.,59,93,1 731 980,18 661,"-1,9",68 054,733,"0,7"
Дніпровський,,1 221,67,1 838 856,27 411,"-1,8",72 254,1 077,"0,8"
,1-кімн.,326,41,1 242 836,29 700,"-1,4",48 834,1 167,"1,2"
,2-кімн.,410,65,1 749 675,26 922,"-2,7",68 750,1 058,"-0,1"
,3-кімн.,393,81,2 173 523,26 270,"-1,1",85 404,1 032,"1,5"
,4-кімн.,92,107,2 918 673,26 356,"-1,0",114 683,1 036,"1,6"
Оболонський,,724,77,2 809 617,34 468,"-2,6",110 398,1 354,"-0,1"
,1-кімн.,149,44,1 579 949,35 460,"-3,1",62 080,1 393,"-0,5"
,2-кімн.,199,64,2 129 262,32 399,"-4,3",83 665,1 273,"-1,8"
,3-кімн.,288,88,3 171 611,33 680,"-1,7",124 621,1 323,"0,9"
,4-кімн.,88,124,5 245 491,40 048,"-1,7",206 110,1 574,"0,9"
Печерський,,1 756,86,4 644 457,53 500,"-2,2",182 493,2 102,"0,4"
,1-кімн.,327,49,2 657 593,53 693,"-1,8",104 424,2 110,"0,8"
,2-кімн.,601,71,3 859 578,54 024,"-2,5",151 653,2 123,"0,1"
,3-кімн.,668,105,5 774 922,53 868,"-2,3",226 912,2 117,"0,2"
,4-кімн.,160,139,6 933 620,49 599,"-0,7",272 441,1 949,"1,9"
Подільський,,721,69,2 189 068,31 185,"-2,2",86 014,1 225,"0,4"
,1-кімн.,205,41,1 281 549,30 948,"-1,8",50 356,1 216,"0,7"
,2-кімн.,235,64,2 133 211,32 687,"-1,3",83 820,1 284,"1,3"
,3-кімн.,228,88,2 668 113,29 709,"-3,3",104 837,1 167,"-0,8"
,4-кімн.,53,117,3 886 150,31 792,"-5,1",152 697,1 249,"-2,6"
Святошинський,,754,67,1 670 956,24 887,"-1,6",65 656,978,"1,0"
,1-кімн.,168,39,1 038 665,26 238,"1,0",40 812,1 031,"3,6"
,2-кімн.,234,62,1 543 967,24 805,"-3,3",60 667,975,"-0,7"
,3-кімн.,278,79,1 956 038,24 481,"-1,7",76 858,962,"0,8"
,4-кімн.,74,101,2 437 009,23 606,"-2,2",95 757,928,"0,4"
Солом'янський,,1 276,73,2 244 473,30 101,"-1,7",88 191,1 183,"0,9"
,1-кімн.,342,42,1 356 363,31 237,"0,6",53 295,1 227,"3,3"
,2-кімн.,394,64,2 024 417,30 442,"-2,8",79 545,1 196,"-0,2"
,3-кімн.,437,91,2 743 859,28 956,"-1,8",107 814,1 138,"0,8"
,4-кімн.,103,129,3 916 349,29 887,"-4,2",153 884,1 174,"-1,7"
Шевченківський,,1 592,81,3 512 211,41 829,"-1,0",138 004,1 644,"1,6"
,1-кімн.,292,43,1 773 197,40 024,"1,1",69 674,1 573,"3,8"
,2-кімн.,544,67,2 898 557,42 217,"-1,7",113 892,1 659,"0,8"
,3-кіімн.,573,97,4 137 051,41 441,"-0,9",162 556,1 628,"1,7"
,4-кімн.,183,136,6 154 762,44 773,"-2,0",241 837,1 759,"0,6"
