Район,К-сть кімнат,Вибірка квартир,"Сер. заг пл., кв.м","Сер. ціна, грн","Сер. ціна, грн/кв.м",Зміна в %,"Сер. ціна, $","Сер. ціна, $/кв.м",Зміна в %
Загалом по Києву,,10 496,75,2 958 207,37 932,"-2,3",109 361,1 402,"-1,3"
,1-кімн.,2 598,43,1 662 262,38 077,"-1,8",61 451,1 408,"-0,7"
,2-кімн.,3 213,66,2 584 869,38 099,"-2,0",95 559,1 408,"-1,0"
,3-кімн.,3 703,93,3 602 271,37 295,"-3,3",133 171,1 379,"-2,3"
,4-кімн.,982,127,5 179 621,39 402,"-1,1",191 483,1 457,"0,01"
Голосіївський,,1 694,74,2 909 172,38 443,"-0,3",107 548,1 421,"0,8"
,1-кімн.,483,43,1 667 182,38 258,"0,9",61 633,1 414,"2,1"
,2-кімн.,565,68,2 693 929,38 688,"-0,5",99 591,1 430,"0,6"
,3-кімн.,534,95,3 723 072,38 085,"-1,1",137 637,1 408,"0,04"
,4-кімн.,112,134,5 470 521,39 711,"-1,4",202 237,1 468,"-0,3"
Дарницький,,1 570,75,2 322 460,31 001,"-0,02",85 858,1 146,"1,1"
,1-кімн.,426,43,1 444 814,33 071,"-0,4",53 413,1 223,"0,7"
,2-кімн.,443,68,2 116 847,30 999,"-0,2",78 257,1 146,"0,9"
,3-кімн.,560,95,2 857 083,29 972,"0,1",105 622,1 108,"1,2"
,4-кімн.,141,120,3 496 757,28 843,"0,2",129 270,1 066,"1,3"
Деснянський,,468,67,1 645 060,25 158,"-0,5",60 816,930,"0,6"
,1-кімн.,93,40,1 136 623,28 360,"-0,9",42 019,1 048,"0,2"
,2-кімн.,137,60,1 582 698,26 259,"-1,3",58 510,971,"-0,2"
,3-кімн.,197,78,1 856 232,23 758,"-0,3",68 622,878,"0,9"
,4-кімн.,41,96,1 992 068,20 943,"-0,4",73 644,774,"0,7"
Дніпровський,,1 100,66,2 027 017,30 882,"-2,0",74 936,1 142,"-0,9"
,1-кімн.,332,42,1 392 664,33 082,"-3,1",51 485,1 223,"-2,0"
,2-кімн.,339,62,1 869 170,30 208,"-1,3",69 101,1 117,"-0,2"
,3-кімн.,340,82,2 504 723,29 960,"-1,5",92 596,1 108,"-0,4"
,4-кімн.,89,106,3 169 653,28 763,"-1,6",117 178,1 063,"-0,5"
Оболонський,,673,77,3 090 405,37 906,"-1,2",114 248,1 401,"-0,1"
,1-кімн.,147,43,1 590 689,36 686,"1,1",58 806,1 356,"2,2"
,2-кімн.,191,66,2 438 818,36 140,"-1,6",90 160,1 336,"-0,5"
,3-кімн.,250,88,3 444 225,37 297,"-2,1",127 328,1 379,"-1,0"
,4-кімн.,85,128,6 107 541,45 779,"0,3",225 787,1 692,"1,4"
Печерський,,1 384,92,5 085 122,55 038,"-4,0",187 990,2 035,"-3,0"
,1-кімн.,234,50,2 785 614,55 451,"-4,1",102 980,2 050,"-3,1"
,2-кімн.,411,73,4 050 930,55 231,"-1,7",149 757,2 042,"-0,6"
,3-кімн.,556,107,5 982 965,55 006,"-6,0",221 182,2 033,"-5,0"
,4-кімн.,183,141,7 620 295,54 175,"-2,9",281 711,2 003,"-1,8"
Подільський,,732,70,2 551 898,36 029,"-0,1",94 340,1 332,"1,0"
,1-кімн.,215,42,1 594 487,37 298,"1,5",58 946,1 379,"2,6"
,2-кімн.,235,66,2 407 012,35 976,"-1,0",88 984,1 330,"0,1"
,3-кімн.,237,90,3 208 150,34 932,"-1,3",118 601,1 291,"-0,3"
,4-кімн.,45,119,4 426 564,36 022,"2,6",163 644,1 332,"3,7"
Святошинський,,592,68,1 966 659,29 125,"-1,9",72 705,1 077,"-0,8"
,1-кімн.,140,39,1 196 551,31 074,"-3,2",44 235,1 149,"-2,1"
,2-кімн.,166,61,1 764 556,29 076,"-2,4",65 233,1 075,"-1,3"
,3-кімн.,226,81,2 310 765,28 341,"-1,4",85 426,1 048,"-0,3"
,4-кімн.,60,107,3 026 599,27 665,"0,03",111 889,1 023,"1,1"
Солом'янський,,1 034,71,2 438 836,34 048,"-0,9",90 160,1 259,"0,2"
,1-кімн.,288,41,1 534 242,36 539,"-1,4",56 719,1 351,"-0,3"
,2-кімн.,304,63,2 250 270,35 030,"-0,9",83 189,1 295,"0,2"
,3-кімн.,364,90,2 954 262,31 650,"0,1",109 215,1 170,"1,2"
,4-кімн.,78,127,4 108 477,32 215,"-3,9",151 885,1 191,"-2,9"
Шевченківський,,1 249,81,3 846 017,46 508,"-2,5",142 182,1 719,"-1,4"
,1-кімн.,240,43,2 049 537,47 811,"-0,6",75 768,1 768,"0,5"
,2-кімн.,422,67,3 131 472,46 091,"-1,9",115 766,1 704,"-0,9"
,3-кіімн.,439,96,4 529 247,45 563,"-4,3",167 440,1 684,"-3,2"
,4-кімн.,148,139,6 770 037,48 382,"-1,8",250 279,1 789,"-0,7"
