Район,К-сть кімнат,Вибірка квартир,"Сер. заг пл., кв.м","Сер. ціна, грн","Сер. ціна, грн/кв.м",Зміна в %,"Сер. ціна, $","Сер. ціна, $/кв.м",Зміна в %
Загалом по Києву,,12 408,73,2 910 887,38 875,"-0,7",105 352,1 407,"0,5"
,1-кімн.,3 431,43,1 708 422,39 177,"-1,5",61 832,1 418,"-0,4"
,2-кімн.,3 887,65,2 568 555,38 829,"-0,9",92 963,1 405,"0,3"
,3-кімн.,4 063,92,3 655 369,38 340,"0,3",132 297,1 388,"1,5"
,4-кімн.,1 027,126,5 278 430,40 162,"-1,1",191 040,1 454,"0,0"
Голосіївський,,1 966,71,2 960 698,40 429,"-0,8",107 155,1 463,"0,3"
,1-кімн.,634,43,1 765 276,40 187,"-3,2",63 890,1 454,"-2,1"
,2-кімн.,671,67,2 761 745,40 069,"0,1",99 955,1 450,"1,3"
,3-кімн.,539,94,3 947 873,40 748,"1,0",142 884,1 475,"2,2"
,4-кімн.,122,138,5 905 850,42 266,"-1,2",213 748,1 530,"0,0"
Дарницький,,1 888,72,2 312 749,32 395,"-0,40",83 704,1 172,"0,8"
,1-кімн.,563,43,1 512 727,34 537,"-1,5",54 749,1 250,"-0,4"
,2-кімн.,560,66,2 136 710,32 253,"-0,3",77 333,1 167,"0,8"
,3-кімн.,624,93,2 925 269,31 317,"0,1",105 873,1 133,"1,3"
,4-кімн.,141,118,3 495 596,29 183,"0,8",126 515,1 056,"1,9"
Деснянський,,591,65,1 631 787,25 757,"-1,2",59 059,932,"-0,1"
,1-кімн.,140,39,1 122 755,28 513,"-1,6",40 635,1 032,"-0,4"
,2-кімн.,165,59,1 576 908,26 781,"-1,4",57 072,969,"-0,2"
,3-кімн.,241,78,1 873 957,24 090,"-1,3",67 823,872,"-0,1"
,4-кімн.,45,95,2 119 713,22 358,"0,0",76 718,809,"1,2"
Дніпровський,,1 346,64,2 092 052,32 763,"-0,2",75 717,1 186,"0,9"
,1-кімн.,445,42,1 501 464,35 691,"0,2",54 342,1 292,"1,4"
,2-кімн.,411,61,1 924 764,31 662,"-1,7",69 662,1 146,"-0,6"
,3-кімн.,394,82,2 599 636,31 231,"0,2",94 087,1 130,"1,4"
,4-кімн.,96,109,3 462 666,30 197,"-0,8",125 323,1 093,"0,4"
Оболонський,,824,73,2 884 966,37 542,"-2,9",104 414,1 359,"-1,8"
,1-кімн.,215,43,1 582 644,36 533,"-4,2",57 280,1 322,"-3,1"
,2-кімн.,235,64,2 337 126,36 059,"-4,0",84 587,1 305,"-2,9"
,3-кімн.,290,87,3 392 900,37 354,"-1,5",122 798,1 352,"-0,4"
,4-кімн.,84,129,5 997 355,44 917,"-2,2",217 060,1 626,"-1,1"
Печерський,,1 539,89,5 063 337,56 383,"-1,1",183 255,2 041,"0,1"
,1-кімн.,309,51,2 879 769,56 829,"-1,8",104 226,2 057,"-0,7"
,2-кімн.,451,71,4 002 211,56 410,"-0,9",144 850,2 042,"0,3"
,3-кімн.,585,107,6 114 939,56 331,"-0,7",221 315,2 039,"0,5"
,4-кімн.,194,140,7 837 061,55 770,"-1,9",283 643,2 018,"-0,8"
Подільський,,804,68,2 554 615,37 404,"0,4",92 458,1 354,"1,5"
,1-кімн.,244,42,1 619 928,38 628,"-1,5",58 629,1 398,"-0,3"
,2-кімн.,260,64,2 404 627,37 267,"-0,3",87 030,1 349,"0,9"
,3-кімн.,263,88,3 277 373,36 525,"2,3",118 616,1 322,"3,5"
,4-кімн.,37,122,4 635 024,36 545,"3,8",167 753,1 323,"5,0"
Святошинський,,746,65,1 933 559,29 959,"-1,2",69 980,1 084,"-0,1"
,1-кімн.,201,37,1 181 782,31 984,"-2,3",42 772,1 158,"-1,2"
,2-кімн.,209,59,1 757 719,29 860,"-0,4",63 616,1 081,"0,7"
,3-кімн.,269,81,2 377 567,29 157,"-1,2",86 050,1 055,"-0,1"
,4-кімн.,67,106,2 954 739,27 419,"-1,10",106 940,992,"0,1"
Солом'янський,,1 272,69,2 434 576,35 181,"-1,4",88 114,1 273,"-0,2"
,1-кімн.,377,41,1 565 588,37 439,"-2,4",56 663,1 355,"-1,3"
,2-кімн.,419,63,2 292 425,35 898,"-0,7",82 969,1 299,"0,5"
,3-кімн.,392,90,3 077 963,32 938,"-0,5",111 399,1 192,"0,6"
,4-кімн.,84,126,4 041 274,31 948,"-4,1",146 264,1 156,"-3,0"
Шевченківський,,1 432,78,3 762 554,47 148,"-0,7",136 176,1 706,"0,5"
,1-кімн.,303,43,2 020 673,46 981,"-1,8",73 133,1 700,"-0,7"
,2-кімн.,506,65,3 114 039,46 769,"-0,4",112 705,1 693,"0,7"
,3-кіімн.,466,95,4 620 933,47 235,"0,1",167 243,1 710,"1,3"
,4-кімн.,157,136,6 666 586,48 438,"-1,6",241 281,1 753,"-0,4"
