Район,К-сть кімнат,Вибірка квартир,"Сер. заг пл., кв.м","Сер. ціна, грн","Сер. ціна, грн/кв.м",Зміна в %,"Сер. ціна, $","Сер. ціна, $/кв.м",Зміна в %
Загалом по Києву,,10 515,76,3 169 151,40 262,"13,1",112 781,1 433,"-1,4"
,1-кімн.,2 580,43,1 792 953,40 566,"16,3",63 806,1 444,"1,5"
,2-кімн.,3 188,66,2 745 019,40 245,"10,6",97 687,1 432,"-3,5"
,3-кімн.,3 733,93,3 889 396,39 903,"12,7",138 413,1 420,"-1,7"
,4-кімн.,1 014,126,5 352 633,40 868,"14,6",190 485,1 454,"0,0"
Голосіївський,,1 618,74,3 053 656,40 375,"16,4",108 671,1 437,"1,6"
,1-кімн.,485,43,1 773 240,40 380,"18,3",63 105,1 437,"3,2"
,2-кімн.,507,68,2 805 334,40 497,"15,3",99 834,1 441,"0,6"
,3-кімн.,510,95,3 942 311,40 080,"16,0",140 296,1 426,"1,2"
,4-кімн.,116,132,5 585 444,41 120,"16,4",198 770,1 463,"1,5"
Дарницький,,1 570,76,2 402 510,31 994,"15,9",85 499,1 139,"1,1"
,1-кімн.,422,43,1 501 100,34 512,"16,9",53 420,1 228,"2,0"
,2-кімн.,431,68,2 161 059,31 795,"15,2",76 906,1 131,"0,5"
,3-кімн.,561,94,2 930 912,30 857,"15,7",104 303,1 098,"1,0"
,4-кімн.,156,119,3 607 807,29 822,"16,4",128 392,1 061,"1,6"
Деснянський,,487,67,1 689 487,25 827,"14,4",60 124,919,"-0,3"
,1-кімн.,99,40,1 133 699,28 370,"14,8",40 345,1 010,"0,1"
,2-кімн.,141,60,1 641 217,27 371,"14,1",58 406,974,"-0,5"
,3-кімн.,201,78,1 914 711,24 417,"13,6",68 139,869,"-0,9"
,4-кімн.,46,95,2 049 467,21 783,"12,5",72 935,775,"-1,9"
Дніпровський,,973,66,2 164 524,32 856,"14,2",77 029,1 169,"-0,4"
,1-кімн.,270,42,1 529 168,36 737,"14,5",54 419,1 307,"-0,1"
,2-кімн.,304,60,1 940 656,31 985,"12,1",69 062,1 138,"-2,2"
,3-кімн.,308,82,2 621 088,31 382,"15,6",93 277,1 117,"0,9"
,4-кімн.,91,107,3 252 220,29 240,"16,0",115 737,1 041,"1,2"
Оболонський,,636,77,3 257 291,39 912,"14,3",115 918,1 420,"-0,3"
,1-кімн.,145,45,1 767 861,38 743,"16,9",62 913,1 379,"1,9"
,2-кімн.,178,65,2 507 736,38 045,"9,3",89 243,1 354,"-4,7"
,3-кімн.,226,87,3 606 327,39 186,"14,7",128 339,1 395,"0,1"
,4-кімн.,87,129,6 366 556,47 562,"19,4",226 568,1 693,"4,1"
Печерський,,1 578,91,5 424 564,59 147,"8,6",193 045,2 105,"-5,2"
,1-кімн.,281,50,3 062 728,60 444,"10,9",108 994,2 151,"-3,2"
,2-кімн.,487,74,4 284 161,57 466,"3,7",152 461,2 045,"-9,6"
,3-кімн.,629,107,6 566 548,60 268,"9,7",233 685,2 145,"-4,3"
,4-кімн.,181,142,8 191 102,57 762,"15,5",291 498,2 056,"0,8"
Подільський,,709,69,2 580 979,36 747,"10,9",91 850,1 308,"-3,2"
,1-кімн.,202,42,1 577 359,37 215,"13,4",56 134,1 324,"-1,1"
,2-кімн.,229,65,2 432 760,36 657,"8,3",86 575,1 305,"-5,6"
,3-кімн.,241,88,3 272 866,36 303,"11,3",116 472,1 292,"-2,9"
,4-кімн.,37,114,4 470 947,37 634,"13,7",159 108,1 339,"-0,8"
Святошинський,,611,68,2 065 038,30 239,"15,4",73 489,1 076,"0,6"
,1-кімн.,125,40,1 278 219,32 393,"16,0",45 488,1 153,"1,1"
,2-кімн.,187,60,1 828 445,30 311,"16,1",65 069,1 079,"1,2"
,3-кімн.,233,80,2 410 852,29 573,"14,3",85 795,1 052,"-0,3"
,4-кімн.,66,104,3 004 742,28 308,"16,2",106 930,1 007,"1,3"
Солом'янський,,1 053,72,2 531 283,35 134,"15,9",90 081,1 250,"1,1"
,1-кімн.,299,41,1 560 875,37 251,"16,8",55 547,1 326,"1,8"
,2-кімн.,309,64,2 388 759,36 749,"16,1",85 009,1 308,"1,2"
,3-кімн.,367,91,3 064 478,32 415,"14,3",109 056,1 154,"-0,3"
,4-кімн.,78,128,4 307 043,33 415,"18,2",153 276,1 189,"3,1"
Шевченківський,,1 280,82,4 135 400,49 225,"13,2",147 167,1 752,"-1,3"
,1-кімн.,252,43,2 163 288,49 510,"19,3",76 985,1 762,"4,1"
,2-кімн.,415,68,3 388 230,48 928,"12,1",120 578,1 741,"-2,2"
,3-кіімн.,457,98,4 926 918,48 866,"11,2",175 335,1 739,"-3,0"
,4-кімн.,156,137,6 990 036,50 609,"13,2",248 756,1 801,"-1,3"
