Район,К-сть кімнат,Вибірка квартир,"Сер. заг пл., кв.м","Сер. ціна, грн","Сер. ціна, грн/кв.м",Зміна до січ.19р.в %,"Сер. ціна, $","Сер. ціна, $/кв.м",Зміна до січ.19р.в %
Загалом по Києву,,14 392,73,2 615 897,34 362,"-0,8",96 875,1 273,"2,1"
,1-кімн.,3 557,43,1 468 172,33 431,"0,0",54 371,1 238,"2,9"
,2-кімн.,4 594,65,2 341 007,35 136,"-0,5",86 695,1 301,"2,4"
,3-кімн.,5 033,89,3 205 248,33 990,"-1,5",118 701,1 259,"1,4"
,4-кімн.,1 208,122,4 585 349,35 716,"-1,7",169 811,1 323,"1,1"
Голосіївський,,1 971,73,2 617 669,34 264,"-1,5",96 941,1 269,"1,4"
,1-кімн.,548,44,1 455 271,32 737,"-0,8",53 894,1 212,"2,1"
,2-кімн.,649,67,2 376 800,34 600,"0,0",88 021,1 281,"2,9"
,3-кімн.,626,92,3 328 412,34 698,"-2,8",123 262,1 285,"0,0"
,4-кімн.,148,129,4 971 667,36 617,"-4,3",184 117,1 356,"-1,5"
Дарницький,,2 036,73,1 998 905,27 470,"-2,2",74 026,1 017,"0,7"
,1-кімн.,529,43,1 267 061,29 113,"-1,1",46 923,1 078,"1,8"
,2-кімн.,597,66,1 874 579,28 115,"-2,3",69 422,1 041,"0,5"
,3-кімн.,733,90,2 397 350,26 334,"-2,3",88 782,975,"0,5"
,4-кімн.,177,116,2 955 452,25 091,"-3,9",109 450,929,"-1,1"
Деснянський,,732,66,1 469 311,22 598,"-1,6",54 413,837,"1,2"
,1-кімн.,161,39,991 287,25 234,"-1,5",36 711,935,"1,4"
,2-кімн.,185,59,1 434 730,24 094,"-1,1",53 133,892,"1,7"
,3-кімн.,315,78,1 654 836,21 072,"-1,8",61 284,780,"1,0"
,4-кімн.,71,93,1 820 281,19 493,"-1,0",67 411,722,"1,8"
Дніпровський,,1 585,64,1 803 140,27 880,"-0,5",66 776,1 032,"2,4"
,1-кімн.,456,43,1 243 678,29 363,"-0,1",46 058,1 087,"2,8"
,2-кімн.,541,61,1 697 902,27 680,"-0,5",62 879,1 025,"2,4"
,3-кімн.,487,79,2 171 324,26 699,"-1,6",80 411,989,"1,3"
,4-кімн.,101,107,3 117 423,27 951,"3,9",115 449,1 035,"6,9"
Оболонський,,1 000,71,2 527 376,33 744,"-2,2",93 597,1 250,"0,7"
,1-кімн.,225,42,1 530 093,35 320,"1,6",56 664,1 308,"4,6"
,2-кімн.,290,63,2 135 258,33 149,"-2,5",79 076,1 228,"0,3"
,3-кімн.,393,84,2 917 144,32 419,"-3,6",108 032,1 201,"-0,8"
,4-кімн.,92,113,4 537 413,37 421,"-3,8",168 036,1 386,"-1,0"
Печерський,,1 799,86,4 758 203,54 575,"-2,4",176 212,2 021,"0,4"
,1-кімн.,313,48,2 569 471,52 823,"-0,4",95 156,1 956,"2,4"
,2-кімн.,652,71,3 965 883,55 116,"-1,7",146 870,2 041,"1,2"
,3-кімн.,655,104,5 847 945,55 443,"-3,9",216 569,2 053,"-1,1"
,4-кімн.,179,142,7 483 811,52 491,"-4,1",277 150,1 944,"-1,3"
Подільський,,899,66,2 157 384,31 812,"0,6",79 895,1 178,"3,5"
,1-кімн.,282,41,1 284 913,30 780,"0,7",47 585,1 140,"3,6"
,2-кімн.,284,63,2 141 731,32 969,"1,6",79 315,1 221,"4,5"
,3-кімн.,275,82,2 669 783,31 357,"0,6",98 871,1 161,"3,6"
,4-кімн.,58,116,4 046 564,33 317,"-5,8",149 858,1 234,"-3,1"
Святошинський,,1 006,66,1 679 916,25 588,"-2,5",62 213,948,"0,3"
,1-кімн.,235,40,1 075 864,27 199,"-2,1",39 843,1 007,"0,8"
,2-кімн.,308,60,1 528 763,25 276,"-2,1",56 615,936,"0,8"
,3-кімн.,378,78,2 000 100,25 149,"-2,5",74 070,931,"0,3"
,4-кімн.,85,100,2 473 768,24 217,"-4,7",91 612,897,"-1,9"
Солом'янський,,1 516,70,2 214 946,30 577,"-0,1",82 027,1 132,"2,8"
,1-кімн.,435,43,1 376 162,31 160,"3,0",50 964,1 154,"6,0"
,2-кімн.,449,61,1 941 705,30 716,"-0,8",71 908,1 138,"2,1"
,3-кімн.,534,90,2 812 249,29 926,"-1,5",104 147,1 108,"1,3"
,4-кімн.,98,124,3 935 320,30 901,"-3,1",145 738,1 144,"-0,3"
Шевченківський,,1 848,79,3 468 917,42 061,"-1,7",128 466,1 558,"1,2"
,1-кімн.,373,44,1 784 158,40 249,"-1,0",66 073,1 491,"1,9"
,2-кімн.,639,65,2 743 367,41 087,"-2,4",101 596,1 522,"0,4"
,3-кіімн.,637,97,4 307 146,42 765,"-1,5",159 508,1 584,"1,3"
,4-кімн.,199,134,6 273 387,46 333,"-2,1",232 324,1 716,"0,7"
