Район,К-сть кімнат,Вибірка квартир,"Сер. заг пл., кв.м","Сер. ціна, грн","Сер. ціна, грн/кв.м",Зміна в %,"Сер. ціна, $","Сер. ціна, $/кв.м",Зміна в %
Загалом по Києву,,10 860,77,2 815 102,35 209,"2,2",110 613,1 383,"1,0"
,1-кімн.,2 430,43,1 525 687,34 402,"2,8",59 948,1 352,"1,5"
,2-кімн.,3 399,67,2 447 981,35 705,"0,9",96 188,1 403,"-0,3"
,3-кімн.,3 951,93,3 415 063,35 162,"3,0",134 187,1 382,"1,8"
,4-кімн.,1 080,125,4 676 843,35 632,"2,0",183 766,1 400,"0,8"
Голосіївський,,1 507,76,2 717 135,34 287,"1,8",106 764,1 347,"0,6"
,1-кімн.,415,43,1 430 459,32 429,"1,4",56 207,1 274,"0,2"
,2-кімн.,457,69,2 429 574,34 756,"1,7",95 465,1 366,"0,5"
,3-кімн.,499,96,3 451 432,34 972,"1,7",135 616,1 374,"0,5"
,4-кімн.,136,133,4 915 461,35 870,"2,3",193 142,1 409,"1,0"
Дарницький,,1 515,77,2 096 333,27 365,"3,6",82 371,1 075,"2,3"
,1-кімн.,356,44,1 295 898,29 191,"6,7",50 919,1 147,"5,5"
,2-кімн.,442,68,1 895 476,27 628,"2,9",74 478,1 086,"1,6"
,3-кімн.,568,93,2 492 184,26 447,"2,7",97 925,1 039,"1,5"
,4-кімн.,149,118,3 095 591,25 719,"3,2",121 634,1 011,"2,0"
Деснянський,,481,67,1 502 215,22 598,"4,2",59 026,888,"2,9"
,1-кімн.,97,39,959 028,24 595,"4,0",37 683,966,"2,8"
,2-кімн.,126,61,1 464 488,23 933,"3,8",57 544,940,"2,5"
,3-кімн.,202,78,1 691 835,21 663,"4,7",66 477,851,"3,5"
,4-кімн.,56,94,1 843 989,19 510,"4,1",72 455,767,"2,8"
Дніпровський,,1 070,68,1 934 930,28 600,"1,9",76 029,1 124,"0,7"
,1-кімн.,277,41,1 317 073,31 478,"3,4",51 751,1 237,"2,2"
,2-кімн.,354,63,1 789 847,28 198,"0,6",70 328,1 108,"-0,6"
,3-кімн.,347,83,2 310 936,27 364,"2,7",90 803,1 075,"1,5"
,4-кімн.,92,108,2 935 271,26 143,"-0,4",115 335,1 027,"-1,5"
Оболонський,,703,78,2 766 561,33 701,"-1,2",108 706,1 324,"-2,4"
,1-кімн.,154,42,1 458 664,33 941,"-2,5",57 315,1 334,"-3,7"
,2-кімн.,202,70,2 191 087,31 372,"-3,0",86 094,1 233,"-4,2"
,3-кімн.,265,90,3 154 099,33 319,"1,3",123 933,1 309,"0,1"
,4-кімн.,82,127,5 388 075,40 222,"-1,7",211 712,1 580,"-2,9"
Печерський,,1 653,89,4 849 910,53 994,"1,9",190 566,2 122,"0,7"
,1-кімн.,277,49,2 695 236,54 090,"2,3",105 903,2 125,"1,1"
,2-кімн.,542,72,3 943 407,53 974,"0,9",154 947,2 121,"-0,3"
,3-кімн.,655,106,5 887 028,55 077,"3,3",231 317,2 164,"2,0"
,4-кімн.,179,142,7 134 025,49 941,"0,2",280 315,1 962,"-1,0"
Подільський,,676,71,2 330 196,32 110,"0,8",91 560,1 262,"-0,4"
,1-кімн.,185,40,1 301 540,31 618,"-0,4",51 141,1 242,"-1,6"
,2-кімн.,211,66,2 273 760,33 797,"1,8",89 342,1 328,"0,5"
,3-кімн.,232,90,2 821 460,30 610,"-0,4",110 863,1 203,"-1,6"
,4-кімн.,48,118,4 168 443,33 833,"7,1",163 790,1 329,"5,8"
Святошинський,,673,68,1 748 650,25 592,"3,5",68 709,1 006,"2,3"
,1-кімн.,147,41,1 082 795,26 555,"2,0",42 546,1 043,"0,7"
,2-кімн.,204,61,1 577 626,25 537,"4,6",61 989,1 003,"3,3"
,3-кімн.,257,80,2 058 009,25 495,"3,5",80 865,1 002,"2,2"
,4-кімн.,65,104,2 568 101,23 965,"5,8",100 908,942,"4,5"
Солом'янський,,1 151,74,2 285 569,30 413,"2,0",89 806,1 195,"0,8"
,1-кімн.,278,42,1 354 707,31 292,"3,0",53 230,1 230,"1,8"
,2-кімн.,373,64,2 085 899,31 507,"2,2",81 961,1 238,"0,9"
,3-кімн.,403,91,2 724 386,28 850,"1,1",107 049,1 134,"-0,1"
,4-кімн.,97,128,3 898 074,30 182,"2,2",153 166,1 186,"1,0"
Шевченківський,,1 431,82,3 608 574,42 549,"2,2",141 791,1 672,"0,9"
,1-кімн.,244,44,1 831 169,40 905,"3,3",71 952,1 607,"2,1"
,2-кімн.,488,66,2 858 351,42 180,"0,4",112 312,1 657,"-0,8"
,3-кіімн.,523,97,4 279 523,42 821,"3,4",168 154,1 683,"2,2"
,4-кімн.,176,135,6 159 085,45 042,"1,6",242 007,1 770,"0,4"
