Район,К-сть кімнат,Вибірка квартир,"Сер. заг пл., кв.м","Сер. ціна, грн","Сер. ціна, грн/кв.м",Зміна в %,"Сер. ціна, $","Сер. ціна, $/кв.м",Зміна в %
Загалом по Києву,,13 297,74,2 702 769,35 012,"1,0",101 608,1 316,"1,7"
,1-кімн.,3 304,43,1 505 002,33 936,"0,9",56 579,1 276,"1,5"
,2-кімн.,4 211,66,2 427 255,35 902,"1,3",91 250,1 350,"1,9"
,3-кімн.,4 635,91,3 333 127,34 801,"1,3",125 306,1 308,"2,0"
,4-кімн.,1 147,123,4 617 244,35 692,"-0,5",173 581,1 342,"0,1"
Голосіївський,,1 856,75,2 657 176,34 389,"0,0",99 894,1 293,"0,7"
,1-кімн.,528,44,1 474 477,32 659,"-0,8",55 431,1 228,"-0,1"
,2-кімн.,596,69,2 479 891,35 267,"0,2",93 229,1 326,"0,9"
,3-кімн.,579,93,3 352 816,34 758,"0,7",126 046,1 307,"1,4"
,4-кімн.,153,130,4 796 727,35 544,"-0,7",180 328,1 336,"0,0"
Дарницький,,1 858,74,2 016 392,27 559,"0,2",75 804,1 036,"0,9"
,1-кімн.,497,43,1 270 534,29 160,"0,2",47 764,1 096,"0,9"
,2-кімн.,549,68,1 921 185,28 143,"0,6",72 225,1 058,"1,2"
,3-кімн.,649,91,2 430 124,26 421,"-0,1",91 358,993,"0,5"
,4-кімн.,163,116,2 963 931,25 237,"-0,9",111 426,949,"-0,3"
Деснянський,,654,66,1 465 765,22 735,"-0,1",55 104,855,"0,6"
,1-кімн.,153,39,973 571,24 906,"-1,1",36 600,936,"-0,4"
,2-кімн.,164,60,1 455 734,24 286,"0,2",54 727,913,"0,9"
,3-кімн.,273,78,1 668 047,21 348,"0,6",62 709,803,"1,2"
,4-кімн.,64,93,1 805 267,19 494,"-1,6",67 867,733,"-1,0"
Дніпровський,,1 429,65,1 841 127,28 193,"1,0",69 215,1 060,"1,7"
,1-кімн.,423,42,1 249 462,29 897,"1,9",46 972,1 124,"2,6"
,2-кімн.,472,64,1 798 551,28 247,"2,0",67 615,1 062,"2,7"
,3-кімн.,443,80,2 201 763,26 702,"-0,3",82 773,1 004,"0,3"
,4-кімн.,91,108,3 056 603,27 248,"-1,4",114 910,1 024,"-0,8"
Оболонський,,850,74,2 776 328,35 280,"2,9",104 373,1 326,"3,6"
,1-кімн.,202,43,1 601 669,36 314,"1,9",60 213,1 365,"2,6"
,2-кімн.,229,63,2 171 189,33 480,"0,5",81 624,1 259,"1,2"
,3-кімн.,327,89,3 289 832,34 648,"4,7",123 678,1 303,"5,4"
,4-кімн.,92,119,5 036 565,39 730,"3,9",189 345,1 494,"4,6"
Печерський,,1 790,86,4 788 109,55 187,"1,7",180 004,2 075,"2,4"
,1-кімн.,334,49,2 698 484,54 828,"3,1",101 447,2 061,"3,8"
,2-кімн.,633,71,3 958 247,55 024,"1,0",148 806,2 069,"1,7"
,3-кімн.,659,105,6 001 114,56 351,"2,1",225 606,2 118,"2,8"
,4-кімн.,164,141,7 372 665,51 869,"-0,1",277 168,1 950,"0,6"
Подільський,,872,68,2 213 137,31 782,"0,9",83 201,1 195,"1,6"
,1-кімн.,264,42,1 366 550,31 816,"2,4",51 374,1 196,"3,1"
,2-кімн.,274,64,2 109 648,32 476,"0,6",79 310,1 221,"1,3"
,3-кімн.,279,87,2 749 707,30 801,"-0,3",103 372,1 158,"0,3"
,4-кімн.,55,118,4 070 436,33 143,"1,0",153 024,1 246,"1,7"
Святошинський,,879,66,1 689 264,25 409,"-1,1",63 506,955,"-0,4"
,1-кімн.,208,40,1 042 289,25 997,"-2,1",39 184,977,"-1,4"
,2-кімн.,267,61,1 564 593,25 493,"-0,6",58 819,958,"0,0"
,3-кімн.,326,79,2 023 375,25 245,"-0,5",76 067,949,"0,2"
,4-кімн.,78,99,2 444 881,24 240,"-2,0",91 913,911,"-1,4"
Солом'янський,,1 375,71,2 267 222,30 905,"-0,1",85 234,1 162,"0,6"
,1-кімн.,388,43,1 384 876,31 462,"0,8",52 063,1 183,"1,5"
,2-кімн.,424,63,2 055 388,31 663,"0,9",77 270,1 190,"1,6"
,3-кімн.,465,91,2 832 863,29 786,"-1,5",106 499,1 120,"-0,9"
,4-кімн.,98,127,3 993 190,30 724,"-0,8",150 120,1 155,"-0,2"
Шевченківський,,1 734,81,3 580 288,42 705,"0,5",134 597,1 605,"1,1"
,1-кімн.,307,43,1 776 351,39 963,"-2,2",66 780,1 502,"-1,5"
,2-кімн.,603,66,2 870 183,42 740,"2,8",107 902,1 607,"3,5"
,3-кіімн.,635,97,4 291 774,42 892,"-0,4",161 345,1 612,"0,3"
,4-кімн.,189,135,6 385 623,46 422,"0,1",240 061,1 745,"0,8"
