Район,К-сть кімнат,Вибірка квартир,"Сер. заг пл., кв.м","Сер. ціна, грн","Сер. ціна, грн/кв.м",Зміна в %,"Сер. ціна, $","Сер. ціна, $/кв.м",Зміна в %
Загалом по Києву,,13 882,73,2 658 145,34 662,"0,3",99 276,1 295,"1,8"
,1-кімн.,3 437,43,1 478 034,33 640,"0,5",55 201,1 256,"2,0"
,2-кімн.,4 440,65,2 377 227,35 452,"-0,2",88 784,1 324,"1,2"
,3-кімн.,4 811,90,3 267 392,34 360,"0,7",122 030,1 283,"2,2"
,4-кімн.,1 194,123,4 644 934,35 883,"0,4",173 478,1 340,"1,8"
Голосіївський,,1 947,74,2 647 490,34 390,"0,3",98 878,1 284,"1,7"
,1-кімн.,543,44,1 474 181,32 915,"0,0",55 057,1 229,"1,4"
,2-кімн.,647,69,2 473 955,35 183,"0,7",92 397,1 314,"2,1"
,3-кімн.,600,94,3 334 402,34 503,"0,8",124 532,1 289,"2,3"
,4-кімн.,157,129,4 795 487,35 796,"-2,5",179 101,1 337,"-1,1"
Дарницький,,1 924,74,2 016 092,27 494,"-0,7",75 296,1 027,"0,7"
,1-кімн.,489,43,1 257 095,29 102,"-1,3",46 950,1 087,"0,1"
,2-кімн.,570,67,1 879 039,27 980,"-1,1",70 178,1 045,"0,4"
,3-кімн.,696,90,2 418 165,26 457,"-0,2",90 313,988,"1,2"
,4-кімн.,169,117,3 018 621,25 468,"0,5",112 739,951,"2,0"
Деснянський,,686,66,1 464 540,22 758,"-0,7",54 697,850,"0,7"
,1-кімн.,159,39,977 730,25 176,"-0,8",36 516,940,"0,6"
,2-кімн.,173,59,1 444 830,24 234,"-1,1",53 961,905,"0,3"
,3-кімн.,285,78,1 658 571,21 227,"-1,3",61 944,793,"0,1"
,4-кімн.,69,93,1 834 308,19 814,"2,6",68 507,740,"4,1"
Дніпровський,,1 529,64,1 802 972,27 908,"-0,7",67 337,1 042,"0,7"
,1-кімн.,459,42,1 222 313,29 336,"0,2",45 651,1 096,"1,6"
,2-кімн.,510,63,1 731 758,27 691,"-0,4",64 677,1 034,"1,0"
,3-кімн.,463,80,2 183 549,26 787,"-1,4",81 551,1 000,"0,0"
,4-кімн.,97,109,3 108 482,27 647,"-2,8",116 095,1 033,"-1,4"
Оболонський,,941,72,2 622 653,34 287,"0,8",97 950,1 281,"2,3"
,1-кімн.,224,43,1 568 720,35 623,"0,3",58 588,1 330,"1,8"
,2-кімн.,269,62,2 134 517,33 307,"-1,0",79 719,1 244,"0,4"
,3-кімн.,350,87,3 079 257,33 078,"0,8",115 003,1 235,"2,3"
,4-кімн.,98,116,4 740 798,38 241,"5,2",177 058,1 428,"6,8"
Печерський,,1 833,86,4 699 928,54 244,"-1,2",175 532,2 026,"0,2"
,1-кімн.,332,48,2 604 079,53 158,"-0,2",97 256,1 985,"1,3"
,2-кімн.,661,71,3 877 630,54 454,"-3,0",144 821,2 034,"-1,6"
,3-кімн.,663,105,5 848 944,55 199,"0,3",218 445,2 062,"1,7"
,4-кімн.,177,142,7 398 030,51 921,"-1,7",276 300,1 939,"-0,2"
Подільський,,883,67,2 167 914,31 484,"-1,5",80 967,1 176,"-0,1"
,1-кімн.,273,41,1 306 228,31 060,"-0,1",48 785,1 160,"1,3"
,2-кімн.,268,64,2 085 532,32 273,"-3,3",77 890,1 205,"-2,0"
,3-кімн.,287,85,2 717 559,30 897,"-1,2",101 495,1 154,"0,2"
,4-кімн.,55,115,3 978 288,32 811,"0,7",148 580,1 225,"2,1"
Святошинський,,942,66,1 706 846,25 679,"-0,4",63 747,959,"1,0"
,1-кімн.,221,40,1 064 525,26 544,"-0,9",39 758,991,"0,6"
,2-кімн.,285,61,1 583 030,25 659,"-0,1",59 123,958,"1,3"
,3-кімн.,360,79,2 031 542,25 363,"-0,6",75 874,947,"0,8"
,4-кімн.,76,99,2 500 926,24 743,"0,8",93 404,924,"2,2"
Солом'янський,,1 429,70,2 247 827,30 926,"0,5",83 951,1 155,"2,0"
,1-кімн.,418,42,1 359 087,31 208,"1,0",50 759,1 166,"2,5"
,2-кімн.,439,62,2 026 831,31 382,"0,5",75 698,1 172,"2,0"
,3-кімн.,476,91,2 877 955,30 247,"0,3",107 485,1 130,"1,8"
,4-кімн.,96,125,4 003 767,30 981,"-1,4",149 532,1 157,"0,1"
Шевченківський,,1 768,80,3 556 660,42 512,"0,7",132 833,1 588,"2,2"
,1-кімн.,319,43,1 794 343,40 844,"2,1",67 015,1 525,"3,6"
,2-кімн.,618,65,2 771 637,41 568,"0,5",103 514,1 552,"1,9"
,3-кіімн.,631,97,4 303 128,43 055,"0,6",160 712,1 608,"2,0"
,4-кімн.,200,137,6 438 174,46 374,"-0,6",240 451,1 732,"0,8"
