Район,К-сть кімнат,Вибірка квартир,"Сер. заг пл., кв.м","Сер. ціна, грн","Сер. ціна, грн/кв.м",Зміна в %,"Сер. ціна, $","Сер. ціна, $/кв.м",Зміна в %
Загалом по Києву,,10 539,77,2 853 566,35 494,"5,7",115 999,1 443,"0,9"
,1-кімн.,2 417,43,1 520 485,34 328,"5,4",61 808,1 395,"0,6"
,2-кімн.,3 283,67,2 516 561,36 285,"6,2",102 299,1 475,"1,3"
,3-кімн.,3 808,94,3 483 886,35 499,"5,6",141 621,1 443,"0,8"
,4-кімн.,1 031,127,4 723 775,35 694,"5,7",192 023,1 451,"0,9"
Голосіївський,,1 512,76,2 661 491,33 636,"5,7",108 191,1 367,"0,9"
,1-кімн.,402,42,1 382 733,31 671,"7,5",56 209,1 287,"2,6"
,2-кімн.,484,69,2 443 634,34 347,"5,2",99 335,1 396,"0,4"
,3-кімн.,508,95,3 344 250,33 971,"4,0",135 945,1 381,"-0,7"
,4-кімн.,118,135,4 972 180,35 975,"8,6",202 121,1 462,"3,7"
Дарницький,,1 541,76,2 083 573,27 516,"5,7",84 698,1 119,"0,9"
,1-кімн.,391,43,1 298 167,29 457,"6,2",52 771,1 197,"1,3"
,2-кімн.,445,68,1 898 510,27 796,"5,3",77 175,1 130,"0,6"
,3-кімн.,561,94,2 521 106,26 455,"5,3",102 484,1 075,"0,5"
,4-кімн.,144,119,3 083 511,25 513,"6,3",125 346,1 037,"1,4"
Деснянський,,456,68,1 501 862,22 521,"5,4",61 051,915,"0,6"
,1-кімн.,95,39,948 345,24 461,"6,0",38 551,994,"1,1"
,2-кімн.,112,60,1 436 862,23 903,"6,2",58 409,972,"1,4"
,3-кімн.,197,78,1 715 790,21 724,"6,2",69 748,883,"1,4"
,4-кімн.,52,97,1 842 635,19 020,"3,3",74 904,773,"-1,4"
Дніпровський,,994,67,1 896 872,28 177,"4,8",77 109,1 145,"0,02"
,1-кімн.,268,41,1 291 019,31 108,"5,0",52 480,1 265,"0,3"
,2-кімн.,318,63,1 755 621,27 849,"3,3",71 367,1 132,"-1,4"
,3-кімн.,320,82,2 223 523,26 606,"5,1",90 387,1 082,"0,3"
,4-кімн.,88,113,3 064 573,26 146,"6,6",124 576,1 063,"1,7"
Оболонський,,625,78,2 895 828,35 025,"7,7",117 717,1 424,"2,8"
,1-кімн.,137,44,1 466 585,32 842,"6,1",59 617,1 335,"1,3"
,2-кімн.,164,65,2 340 403,35 500,"12,4",95 138,1 443,"7,3"
,3-кімн.,241,90,3 243 904,34 260,"7,1",131 866,1 393,"2,3"
,4-кімн.,83,128,5 341 727,39 912,"3,6",217 143,1 622,"-1,1"
Печерський,,1 703,91,4 900 071,53 526,"5,0",199 190,2 176,"0,2"
,1-кімн.,276,50,2 666 390,53 226,"3,4",108 390,2 164,"-1,3"
,2-кімн.,557,74,4 054 738,54 196,"5,0",164 827,2 203,"0,2"
,3-кімн.,681,108,5 885 572,54 191,"5,4",239 251,2 203,"0,6"
,4-кімн.,189,143,7 102 296,49 599,"5,8",288 711,2 016,"1,0"
Подільський,,641,70,2 373 076,33 214,"3,7",96 467,1 350,"-1,0"
,1-кімн.,173,41,1 378 172,32 975,"3,8",56 023,1 340,"-0,9"
,2-кімн.,212,64,2 197 814,33 560,"3,7",89 342,1 364,"-1,1"
,3-кімн.,212,89,3 038 345,33 278,"4,4",123 510,1 353,"-0,4"
,4-кімн.,44,118,3 923 918,32 187,"0,2",159 509,1 308,"-4,3"
Святошинський,,624,69,1 774 757,25 892,"5,8",72 145,1 053,"0,9"
,1-кімн.,132,41,1 098 310,27 248,"5,1",44 647,1 108,"0,3"
,2-кімн.,200,61,1 594 353,25 878,"7,0",64 811,1 052,"2,1"
,3-кімн.,231,81,2 068 366,25 307,"4,3",84 080,1 029,"-0,4"
,4-кімн.,61,106,2 718 167,25 220,"8,5",110 495,1 025,"3,6"
Солом'янський,,1 047,73,2 251 046,30 356,"5,4",91 506,1 234,"0,6"
,1-кімн.,281,41,1 302 945,31 104,"5,1",52 965,1 264,"0,3"
,2-кімн.,330,66,2 155 315,32 060,"6,4",87 614,1 303,"1,5"
,3-кімн.,350,92,2 695 750,28 281,"3,9",109 583,1 150,"-0,8"
,4-кімн.,86,130,3 906 412,29 820,"6,4",158 797,1 212,"1,5"
Шевченківський,,1 396,83,3 673 557,43 166,"6,9",149 332,1 755,"2,0"
,1-кімн.,262,45,1 866 837,41 331,"5,2",75 888,1 680,"0,4"
,2-кімн.,461,69,2 986 382,42 770,"7,1",121 398,1 739,"2,2"
,3-кіімн.,507,98,4 435 091,44 042,"7,4",180 288,1 790,"2,5"
,4-кімн.,166,137,6 107 596,44 489,"7,6",248 276,1 808,"2,7"
