Район,К-сть кімнат,Вибірка квартир,"Сер. заг пл., кв.м","Сер. ціна, грн","Сер. ціна, грн/кв.м",Зміна в %,"Сер. ціна, $","Сер. ціна, $/кв.м",Зміна в %
Загалом по Києву,,10 017,75,2 965 478,38 237,"0,8",110 241,1 421,"1,4"
,1-кімн.,2 419,43,1 722 848,39 175,"2,9",64 046,1 456,"3,5"
,2-кімн.,3 143,66,2 567 298,38 283,"0,5",95 439,1 423,"1,0"
,3-кімн.,3 508,93,3 594 998,37 305,"0,0",133 643,1 387,"0,6"
,4-кімн.,947,126,5 129 198,39 138,"-0,7",190 677,1 455,"-0,1"
Голосіївський,,1 532,73,2 935 842,39 151,"1,8",109 139,1 455,"2,4"
,1-кімн.,438,43,1 748 187,39 664,"3,7",64 988,1 474,"4,3"
,2-кімн.,519,67,2 675 973,39 087,"1,0",99 479,1 453,"1,6"
,3-кімн.,471,94,3 731 289,38 487,"1,1",138 710,1 431,"1,6"
,4-кімн.,104,137,5 632 085,40 314,"1,5",209 371,1 499,"2,1"
Дарницький,,1 541,76,2 351 521,31 433,"1,4",87 417,1 169,"2,0"
,1-кімн.,397,44,1 507 046,34 217,"3,5",56 024,1 272,"4,0"
,2-кімн.,455,68,2 123 819,31 245,"0,8",78 952,1 162,"1,4"
,3-кімн.,552,95,2 884 735,30 323,"1,2",107 239,1 127,"1,7"
,4-кімн.,137,118,3 406 465,28 457,"-1,3",126 634,1 058,"-0,8"
Деснянський,,425,66,1 626 930,25 082,"-0,3",60 481,932,"0,3"
,1-кімн.,85,40,1 143 282,28 573,"0,7",42 501,1 062,"1,3"
,2-кімн.,122,59,1 562 215,26 304,"0,2",58 075,978,"0,7"
,3-кімн.,182,78,1 831 142,23 477,"-1,2",68 072,873,"-0,6"
,4-кімн.,36,93,1 955 779,20 811,"-0,6",72 706,774,"-0,1"
Дніпровський,,1 004,67,2 084 074,31 548,"2,2",77 475,1 173,"2,7"
,1-кімн.,270,42,1 455 390,35 111,"6,1",54 104,1 305,"6,7"
,2-кімн.,327,61,1 857 904,30 577,"1,2",69 067,1 137,"1,8"
,3-кімн.,317,82,2 518 860,30 134,"0,6",93 638,1 120,"1,1"
,4-кімн.,90,107,3 260 463,29 366,"2,1",121 207,1 092,"2,7"
Оболонський,,661,76,3 015 168,37 865,"-0,1",112 088,1 408,"0,4"
,1-кімн.,148,44,1 655 558,37 891,"3,3",61 545,1 409,"3,9"
,2-кімн.,184,66,2 460 438,36 589,"1,2",91 466,1 360,"1,8"
,3-кімн.,246,86,3 295 894,36 449,"-2,3",122 524,1 355,"-1,7"
,4-кімн.,83,125,5 837 268,44 844,"-2,0",216 999,1 667,"-1,5"
Печерський,,1 360,91,5 002 537,54 934,"-0,2",185 968,2 042,"0,4"
,1-кімн.,249,51,2 810 671,55 823,"0,7",104 486,2 075,"1,2"
,2-кімн.,413,71,3 979 984,55 265,"0,1",147 955,2 054,"0,6"
,3-кімн.,520,108,5 953 279,54 403,"-1,1",221 311,2 022,"-0,5"
,4-кімн.,178,140,7 663 794,54 473,"0,6",284 899,2 025,"1,1"
Подільський,,679,71,2 573 126,36 012,"-0,05",95 655,1 339,"0,5"
,1-кімн.,185,42,1 587 811,37 236,"-0,2",59 026,1 384,"0,4"
,2-кімн.,222,65,2 365 817,35 831,"-0,4",87 949,1 332,"0,2"
,3-кімн.,234,90,3 226 160,35 242,"0,9",119 932,1 310,"1,5"
,4-кімн.,38,124,4 559 861,35 856,"-0,5",169 512,1 333,"0,1"
Святошинський,,578,67,1 943 968,28 944,"-0,6",72 266,1 076,"-0,1"
,1-кімн.,139,39,1 199 043,30 943,"-0,4",44 574,1 150,"0,1"
,2-кімн.,160,60,1 767 235,29 068,"0,0",65 696,1 081,"0,5"
,3-кімн.,217,81,2 305 772,28 331,"0,0",85 716,1 053,"0,5"
,4-кімн.,62,105,2 803 811,26 289,"-5,00",104 231,977,"-4,4"
Солом'янський,,1 012,72,2 473 024,34 438,"1,1",91 934,1 280,"1,7"
,1-кімн.,283,42,1 585 555,36 961,"1,2",58 943,1 374,"1,7"
,2-кімн.,318,63,2 265 548,35 293,"0,7",84 221,1 312,"1,3"
,3-кімн.,332,92,3 043 794,32 115,"1,5",113 152,1 194,"2,0"
,4-кімн.,79,127,4 088 661,31 720,"-1,5",151 995,1 179,"-1,0"
Шевченківський,,1 225,80,3 779 580,46 117,"-0,8",140 505,1 714,"-0,3"
,1-кімн.,225,42,2 041 904,47 742,"-0,1",75 907,1 775,"0,4"
,2-кімн.,423,66,3 051 669,45 452,"-1,4",113 445,1 690,"-0,8"
,3-кіімн.,437,95,4 479 146,45 450,"-0,2",166 511,1 690,"0,3"
,4-кімн.,140,138,6 587 962,47 596,"-1,6",244 906,1 769,"-1,1"
