Район,К-сть кімнат,Вибірка квартир,"Сер. заг пл., кв.м","Сер. ціна, грн","Сер. ціна, грн/кв.м",Зміна в %,"Сер. ціна, $","Сер. ціна, $/кв.м",Зміна в %
Загалом по Києву,,12 417,73,2 933 628,39 141,"2,4",104 960,1 400,"-1,5"
,1-кімн.,3 342,43,1 721 721,39 776,"1,5",61 600,1 423,"-2,3"
,2-кімн.,3 895,65,2 595 951,39 177,"2,3",92 878,1 402,"-1,5"
,3-кімн.,4 153,92,3 644 712,38 228,"2,5",130 401,1 368,"-1,4"
,4-кімн.,1 027,125,5 282 521,40 623,"3,8",188 999,1 453,"-0,1"
Голосіївський,,1 916,71,2 951 779,40 756,"4,1",105 609,1 458,"0,2"
,1-кімн.,607,43,1 818 943,41 532,"4,7",65 078,1 486,"0,8"
,2-кімн.,658,67,2 730 979,40 027,"2,4",97 709,1 432,"-1,4"
,3-кімн.,536,94,3 904 685,40 341,"4,8",139 703,1 443,"0,9"
,4-кімн.,115,132,5 753 175,42 769,"6,1",205 838,1 530,"2,1"
Дарницький,,1 989,72,2 325 798,32 521,"3,50",83 213,1 164,"-0,4"
,1-кімн.,576,43,1 524 145,35 077,"2,5",54 531,1 255,"-1,3"
,2-кімн.,585,66,2 144 141,32 362,"3,6",76 713,1 158,"-0,3"
,3-кімн.,677,93,2 926 840,31 279,"3,2",104 717,1 119,"-0,7"
,4-кімн.,151,115,3 392 796,28 962,"1,8",121 388,1 036,"-2,0"
Деснянський,,565,65,1 655 709,26 070,"3,9",59 238,933,"0,03"
,1-кімн.,135,40,1 161 366,28 966,"1,4",41 552,1 036,"-2,4"
,2-кімн.,151,58,1 578 371,27 147,"3,2",56 471,971,"-0,7"
,3-кімн.,236,79,1 916 375,24 402,"3,9",68 564,873,"0,0"
,4-кімн.,43,92,2 048 670,22 349,"7,4",73 298,800,"3,4"
Дніпровський,,1 286,65,2 111 843,32 839,"4,1",75 558,1 175,"0,2"
,1-кімн.,410,41,1 469 921,35 620,"1,5",52 591,1 274,"-2,4"
,2-кімн.,379,61,1 958 879,32 208,"5,3",70 085,1 152,"1,4"
,3-кімн.,408,83,2 609 199,31 156,"3,4",93 352,1 115,"-0,5"
,4-кімн.,89,108,3 440 387,30 429,"3,6",123 091,1 089,"-0,3"
Оболонський,,870,72,2 927 963,38 658,"2,1",104 757,1 383,"-1,7"
,1-кімн.,233,43,1 638 527,38 124,"0,6",58 624,1 364,"-3,2"
,2-кімн.,249,65,2 469 867,37 571,"2,7",88 367,1 344,"-1,2"
,3-кімн.,303,86,3 430 398,37 922,"4,0",122 733,1 357,"0,1"
,4-кімн.,85,126,6 013 458,45 927,"2,4",215 151,1 643,"-1,4"
Печерський,,1 474,90,5 167 356,57 005,"3,8",184 879,2 040,"-0,1"
,1-кімн.,267,49,2 850 139,57 892,"3,7",101 973,2 071,"-0,2"
,2-кімн.,443,71,4 063 018,56 919,"3,0",145 367,2 036,"-0,9"
,3-кімн.,575,108,6 172 396,56 712,"4,2",220 837,2 029,"0,3"
,4-кімн.,189,140,7 971 697,56 842,"4,3",285 213,2 034,"0,4"
Подільський,,870,68,2 561 052,37 263,"3,5",91 630,1 333,"-0,4"
,1-кімн.,262,42,1 658 770,39 199,"5,3",59 348,1 402,"1,3"
,2-кімн.,275,64,2 441 250,37 375,"4,3",87 343,1 337,"0,4"
,3-кімн.,293,89,3 227 733,35 709,"1,3",115 482,1 278,"-2,5"
,4-кімн.,40,121,4 411 209,35 195,"-1,8",157 825,1 259,"-5,5"
Святошинський,,724,66,1 987 953,30 333,"4,8",71 125,1 085,"0,9"
,1-кімн.,191,38,1 227 438,32 746,"5,8",43 915,1 172,"1,9"
,2-кімн.,200,60,1 811 446,29 993,"3,2",64 810,1 073,"-0,7"
,3-кімн.,265,81,2 418 112,29 522,"4,2",86 516,1 056,"0,3"
,4-кімн.,68,105,2 966 893,27 710,"5,40",106 150,991,"1,4"
Солом'янський,,1 273,69,2 480 448,35 669,"3,6",88 746,1 276,"-0,3"
,1-кімн.,368,42,1 633 983,38 354,"3,8",58 461,1 372,"-0,1"
,2-кімн.,433,63,2 308 044,36 141,"2,4",82 578,1 293,"-1,4"
,3-кімн.,388,91,3 091 235,33 105,"3,1",110 599,1 184,"-0,8"
,4-кімн.,84,127,4 256 210,33 324,"5,1",152 279,1 192,"1,1"
Шевченківський,,1 450,78,3 796 492,47 469,"2,9",135 832,1 698,"-0,9"
,1-кімн.,293,42,2 045 825,47 867,"0,3",73 196,1 713,"-3,5"
,2-кімн.,522,65,3 124 984,46 977,"3,4",111 806,1 681,"-0,5"
,3-кіімн.,472,94,4 599 203,47 167,"3,8",164 551,1 688,"-0,1"
,4-кімн.,163,137,6 769 456,49 206,"3,4",242 199,1 761,"-0,5"
