Район,К-сть кімнат,Вибірка квартир,"Сер. заг пл., кв.м","Сер. ціна, грн","Сер. ціна, грн/кв.м",Зміна в %,"Сер. ціна, $","Сер. ціна, $/кв.м",Зміна в %
Загалом по Києву,,11 918,76,2 724 356,34 446,"0,3",108 350,1 370,"1,5"
,1-кімн.,2 775,43,1 487 314,33 479,"-0,2",59 152,1 331,"1,0"
,2-кімн.,3 758,67,2 438 310,35 380,"0,6",96 973,1 407,"1,8"
,3-кімн.,4 285,92,3 309 747,34 132,"0,3",131 631,1 357,"1,6"
,4-кімн.,1 100,124,4 541 955,34 917,"0,0",180 637,1 389,"1,2"
Голосіївський,,1 612,76,2 665 975,33 685,"0,4",106 028,1 340,"1,6"
,1-кімн.,467,43,1 432 368,31 967,"2,9",56 966,1 271,"4,2"
,2-кімн.,487,69,2 426 156,34 184,"-1,9",96 490,1 360,"-0,7"
,3-кімн.,520,97,3 443 640,34 392,"1,5",136 956,1 368,"2,7"
,4-кімн.,138,131,4 756 563,35 072,"-2,5",189 172,1 395,"-1,3"
Дарницький,,1 707,75,1 981 269,26 420,"-0,2",78 797,1 051,"1,0"
,1-кімн.,431,43,1 196 114,27 347,"-1,9",47 570,1 088,"-0,7"
,2-кімн.,523,68,1 854 368,26 857,"-0,1",73 750,1 068,"1,1"
,3-кімн.,608,92,2 408 633,25 747,"1,3",95 793,1 024,"2,6"
,4-кімн.,145,117,2 980 808,24 915,"-1,0",118 549,991,"0,2"
Деснянський,,547,67,1 435 414,21 693,"-0,6",57 087,863,"0,7"
,1-кімн.,110,38,899 630,23 639,"0,1",35 779,940,"1,4"
,2-кімн.,144,60,1 398 536,23 064,"-1,3",55 621,917,"-0,1"
,3-кімн.,233,78,1 625 223,20 687,"-0,4",64 636,823,"0,8"
,4-кімн.,60,94,1 769 098,18 743,"0,4",70 358,745,"1,7"
Дніпровський,,1 193,67,1 885 021,28 071,"2,4",74 969,1 116,"3,7"
,1-кімн.,316,41,1 266 684,30 442,"2,5",50 377,1 211,"3,7"
,2-кімн.,393,64,1 801 582,28 017,"4,1",71 650,1 114,"5,3"
,3-кімн.,389,82,2 230 941,26 646,"1,4",88 726,1 060,"2,7"
,4-кімн.,95,106,2 870 532,26 235,"-0,5",114 163,1 043,"0,8"
Оболонський,,700,78,2 841 600,34 098,"-1,1",113 013,1 356,"0,1"
,1-кімн.,132,43,1 530 475,34 819,"-1,8",60 868,1 385,"-0,6"
,2-кімн.,185,64,2 122 102,32 342,"-0,2",84 398,1 286,"1,0"
,3-кімн.,297,88,3 109 593,32 895,"-2,3",123 671,1 308,"-1,1"
,4-кімн.,86,127,5 476 269,40 927,"2,2",217 795,1 628,"3,4"
Печерський,,1 830,87,4 641 694,52 978,"-1,0",184 604,2 107,"0,2"
,1-кімн.,326,49,2 632 511,52 871,"-1,5",104 697,2 103,"-0,3"
,2-кімн.,635,72,3 869 036,53 501,"-1,0",153 874,2 128,"0,2"
,3-кімн.,697,105,5 711 358,53 328,"-1,0",227 145,2 121,"0,2"
,4-кімн.,172,139,6 967 717,49 830,"0,5",277 111,1 982,"1,7"
Подільський,,736,70,2 286 152,31 842,"2,1",90 922,1 266,"3,3"
,1-кімн.,206,41,1 341 924,31 744,"2,6",53 369,1 262,"3,8"
,2-кімн.,227,65,2 201 717,33 214,"1,6",87 564,1 321,"2,8"
,3-кімн.,251,89,2 828 652,30 732,"3,4",112 498,1 222,"4,7"
,4-кімн.,52,114,3 776 733,31 602,"-0,6",150 204,1 257,"0,6"
Святошинський,,741,67,1 647 682,24 727,"-0,6",65 530,983,"0,6"
,1-кімн.,177,40,1 050 069,26 041,"-0,7",41 762,1 036,"0,5"
,2-кімн.,214,61,1 501 139,24 420,"-1,6",59 701,971,"-0,4"
,3-кімн.,282,79,1 966 715,24 636,"0,6",78 218,980,"1,9"
,4-кімн.,68,101,2 341 361,22 654,"-4,0",93 118,901,"-2,9"
Солом'янський,,1 308,73,2 216 582,29 819,"-0,9",88 155,1 186,"0,3"
,1-кімн.,343,42,1 306 389,30 367,"-2,8",51 956,1 208,"-1,6"
,2-кімн.,414,66,2 081 291,30 836,"1,3",82 775,1 226,"2,5"
,3-кімн.,448,90,2 667 485,28 527,"-1,5",106 088,1 135,"-0,3"
,4-кімн.,103,128,3 830 189,29 530,"-1,2",152 330,1 174,"0,0"
Шевченківський,,1 539,82,3 547 741,41 643,"-0,4",141 096,1 656,"0,8"
,1-кімн.,267,44,1 771 580,39 596,"-1,1",70 457,1 575,"0,1"
,2-кімн.,533,68,2 936 687,41 998,"-0,5",116 794,1 670,"0,7"
,3-кіімн.,558,97,4 144 345,41 412,"-0,1",164 824,1 647,"1,1"
,4-кімн.,181,137,6 127 973,44 330,"-1,0",243 714,1 763,"0,2"
