Район,К-сть кімнат,Вибірка квартир,"Сер. заг пл., кв.м","Сер. ціна, грн","Сер. ціна, грн/кв.м",Зміна в %,"Сер. ціна, $","Сер. ціна, $/кв.м",Зміна в %
Загалом по Києву,,11 420,73,3 078 837,40 819,"5,0",108 601,1 440,"2,3"
,1-кімн.,2 983,43,1 831 801,41 689,"6,4",64 614,1 471,"3,7"
,2-кімн.,3 627,65,2 710 814,40 868,"5,2",95 620,1 442,"2,6"
,3-кімн.,3 845,91,3 791 325,39 852,"3,9",133 733,1 406,"1,3"
,4-кімн.,965,126,5 478 025,41 804,"4,1",193 228,1 475,"1,4"
Голосіївський,,1 583,73,3 271 987,44 142,"9,2",115 414,1 557,"6,4"
,1-кімн.,481,44,2 025 901,45 381,"12,9",71 460,1 601,"10,1"
,2-кімн.,508,67,3 012 801,43 771,"9,2",106 272,1 544,"6,5"
,3-кімн.,492,94,4 188 456,43 313,"6,3",147 741,1 528,"3,6"
,4-кімн.,102,134,6 018 373,44 153,"4,5",212 288,1 557,"1,8"
Дарницький,,1 682,74,2 512 368,34 429,"6,30",88 620,1 214,"3,6"
,1-кімн.,450,44,1 690 559,38 351,"11,0",59 632,1 353,"8,2"
,2-кімн.,511,67,2 299 746,34 360,"6,5",81 120,1 212,"3,8"
,3-кімн.,585,93,3 038 930,32 322,"3,2",107 193,1 140,"0,6"
,4-кімн.,136,120,3 765 488,30 772,"5,4",132 821,1 085,"2,8"
Деснянський,,537,65,1 691 717,26 726,"3,8",59 673,943,"1,1"
,1-кімн.,127,40,1 210 614,30 343,"6,4",42 702,1 070,"3,7"
,2-кімн.,147,59,1 637 999,27 635,"3,2",57 778,975,"0,6"
,3-кімн.,222,78,1 925 147,24 811,"3,0",67 906,875,"0,4"
,4-кімн.,41,93,2 110 622,22 630,"1,2",74 449,798,"-1,4"
Дніпровський,,1 301,65,2 218 905,34 449,"5,1",78 268,1 215,"2,5"
,1-кімн.,411,42,1 566 539,37 201,"4,2",55 257,1 312,"1,6"
,2-кімн.,412,61,2 074 897,33 671,"6,3",73 189,1 188,"3,6"
,3-кімн.,392,82,2 748 471,32 988,"5,6",96 948,1 164,"2,9"
,4-кімн.,86,109,3 612 673,31 675,"4,9",127 431,1 117,"2,2"
Оболонський,,779,72,2 943 548,38 682,"3,0",103 829,1 364,"0,4"
,1-кімн.,212,43,1 596 895,37 566,"2,8",56 328,1 325,"0,2"
,2-кімн.,218,64,2 423 153,37 232,"3,3",85 473,1 313,"0,6"
,3-кімн.,274,87,3 501 856,38 466,"3,0",123 522,1 357,"0,4"
,4-кімн.,75,127,6 223 012,46 845,"4,3",219 507,1 652,"1,6"
Печерський,,1 498,89,5 173 146,58 199,"3,2",182 474,2 053,"0,6"
,1-кімн.,281,51,3 028 977,59 628,"4,9",106 842,2 103,"2,3"
,2-кімн.,475,70,4 100 469,58 075,"3,0",144 637,2 049,"0,3"
,3-кімн.,559,106,6 188 255,57 577,"2,2",218 281,2 031,"-0,4"
,4-кімн.,183,140,8 149 028,58 222,"4,4",287 444,2 054,"1,7"
Подільський,,764,68,2 642 503,38 537,"3,0",93 210,1 359,"0,4"
,1-кімн.,226,41,1 643 706,39 553,"2,4",57 979,1 395,"-0,2"
,2-кімн.,257,63,2 451 937,38 376,"3,0",86 488,1 354,"0,4"
,3-кімн.,240,87,3 345 256,37 525,"2,7",117 998,1 324,"0,1"
,4-кімн.,41,127,5 228 920,39 862,"9,1",184 442,1 406,"6,3"
Святошинський,,700,66,2 021 738,30 783,"2,7",71 314,1 086,"0,1"
,1-кімн.,169,38,1 271 133,33 041,"3,3",44 837,1 165,"0,7"
,2-кімн.,212,59,1 844 792,30 945,"3,6",65 072,1 092,"1,0"
,3-кімн.,252,81,2 436 575,29 920,"2,6",85 946,1 055,"0,0"
,4-кімн.,67,103,2 914 661,27 821,"1,50",102 810,981,"-1,1"
Солом'янський,,1 161,70,2 562 262,36 486,"3,7",90 380,1 287,"1,1"
,1-кімн.,347,41,1 636 035,38 665,"3,3",57 708,1 364,"0,7"
,2-кімн.,374,64,2 439 321,37 310,"3,9",86 043,1 316,"1,3"
,3-кімн.,358,90,3 179 684,34 120,"3,6",112 158,1 204,"1,0"
,4-кімн.,82,128,4 346 938,33 834,"5,9",153 331,1 193,"3,2"
Шевченківський,,1 415,78,3 892 896,48 436,"2,7",137 316,1 709,"0,1"
,1-кімн.,279,43,2 106 698,48 283,"2,8",74 310,1 703,"0,2"
,2-кімн.,513,65,3 160 402,47 602,"1,8",111 478,1 679,"-0,8"
,3-кіімн.,471,95,4 799 193,49 017,"3,8",169 284,1 729,"1,1"
,4-кімн.,152,136,6 835 348,49 733,"2,7",241 106,1 754,"0,1"
