Район,К-сть кімнат,Вибірка квартир,"Сер. заг пл., кв.м","Сер. ціна, грн","Сер. ціна, грн/кв.м",Зміна в %,"Сер. ціна, $","Сер. ціна, $/кв.м",Зміна в %
Загалом по Києву,,10 535,77,2 757 668,34 225,"-2,8",113 718,1 411,"2,0"
,1-кімн.,2 357,43,1 476 333,33 247,"-3,4",60 880,1 371,"1,4"
,2-кімн.,3 233,68,2 423 271,35 026,"-1,9",99 929,1 444,"3,0"
,3-кімн.,3 893,93,3 332 751,34 115,"-3,0",137 433,1 407,"1,8"
,4-кімн.,1 052,126,4 528 019,34 359,"-3,6",186 722,1 417,"1,2"
Голосіївський,,1 558,76,2 584 742,32 696,"-4,6",106 587,1 348,"0,1"
,1-кімн.,414,43,1 370 485,30 902,"-4,7",56 515,1 274,"0,0"
,2-кімн.,493,69,2 367 446,33 477,"-3,7",97 627,1 380,"1,1"
,3-кімн.,519,95,3 251 652,33 164,"-5,2",134 089,1 368,"-0,5"
,4-кімн.,132,132,4 582 493,33 567,"-6,4",188 969,1 384,"-1,8"
Дарницький,,1 512,78,2 056 106,26 489,"-3,2",84 788,1 092,"1,6"
,1-кімн.,346,44,1 244 796,28 121,"-3,7",51 332,1 160,"1,1"
,2-кімн.,441,69,1 848 067,26 749,"-3,2",76 209,1 103,"1,6"
,3-кімн.,573,94,2 462 375,25 816,"-2,4",101 541,1 065,"2,4"
,4-кімн.,152,119,2 974 964,24 559,"-4,5",122 679,1 013,"0,2"
Деснянський,,460,67,1 440 004,21 762,"-3,7",59 382,897,"1,1"
,1-кімн.,97,40,948 692,23 605,"-4,0",39 121,973,"0,7"
,2-кімн.,120,59,1 368 411,22 935,"-4,2",56 429,946,"0,6"
,3-кімн.,191,78,1 637 606,20 881,"-3,6",67 530,861,"1,2"
,4-кімн.,52,94,1 795 899,18 850,"-3,4",74 058,777,"1,4"
Дніпровський,,991,67,1 847 674,27 648,"-3,3",76 193,1 140,"1,5"
,1-кімн.,274,41,1 253 508,30 095,"-4,4",51 691,1 241,"0,3"
,2-кімн.,314,62,1 739 689,27 846,"-1,2",71 740,1 148,"3,6"
,3-кімн.,322,83,2 200 115,26 017,"-4,9",90 726,1 073,"-0,2"
,4-кімн.,81,109,2 875 122,25 091,"-4,0",118 562,1 035,"0,7"
Оболонський,,658,79,2 785 022,33 433,"-0,8",114 846,1 379,"4,1"
,1-кімн.,144,43,1 463 289,33 634,"-0,9",60 342,1 387,"4,0"
,2-кімн.,168,68,2 154 184,31 544,"0,5",88 832,1 301,"5,5"
,3-кімн.,261,89,3 079 174,32 504,"-2,4",126 976,1 340,"2,4"
,4-кімн.,85,129,5 367 809,39 673,"-1,4",221 353,1 636,"3,5"
Печерський,,1 614,90,4 780 005,52 584,"-2,6",197 114,2 168,"2,2"
,1-кімн.,264,50,2 624 614,52 444,"-3,0",108 231,2 163,"1,8"
,2-кімн.,516,74,3 943 550,53 252,"-1,3",162 621,2 196,"3,5"
,3-кімн.,648,106,5 731 060,53 390,"-3,1",236 332,2 202,"1,7"
,4-кімн.,186,141,6 846 409,48 120,"-3,6",282 326,1 984,"1,1"
Подільський,,630,71,2 308 693,31 680,"-1,3",95 204,1 306,"3,5"
,1-кімн.,160,40,1 300 796,31 377,"-0,8",53 641,1 294,"4,1"
,2-кімн.,203,66,2 213 026,32 910,"-2,6",91 259,1 357,"2,2"
,3-кімн.,225,90,2 799 107,30 483,"-0,4",115 427,1 257,"4,5"
,4-кімн.,42,112,3 983 466,33 292,"-1,6",164 267,1 373,"3,3"
Святошинський,,619,69,1 712 938,24 913,"-2,7",70 637,1 027,"2,2"
,1-кімн.,138,41,1 069 625,25 948,"-2,3",44 108,1 070,"2,5"
,2-кімн.,187,62,1 544 576,24 956,"-2,3",63 694,1 029,"2,6"
,3-кімн.,233,81,2 026 006,24 654,"-3,3",83 547,1 017,"1,5"
,4-кімн.,61,104,2 488 607,23 431,"-2,2",102 623,966,"2,6"
Солом'янський,,1 074,75,2 258 221,29 559,"-2,8",93 122,1 219,"2,0"
,1-кімн.,260,42,1 307 729,30 346,"-3,0",53 927,1 251,"1,8"
,2-кімн.,332,66,2 102 704,31 240,"-0,8",86 709,1 288,"4,1"
,3-кімн.,389,92,2 642 362,27 793,"-3,7",108 963,1 146,"1,1"
,4-кімн.,93,134,3 863 903,28 748,"-4,8",159 336,1 185,"0,0"
Шевченківський,,1 419,82,3 477 895,40 987,"-3,7",143 418,1 690,"1,1"
,1-кімн.,260,43,1 718 447,38 944,"-4,8",70 864,1 606,"-0,1"
,2-кімн.,459,68,2 851 554,41 276,"-2,1",117 590,1 702,"2,7"
,3-кіімн.,532,98,4 149 440,41 248,"-3,7",171 111,1 701,"1,1"
,4-кімн.,168,135,5 785 544,42 532,"-5,6",238 579,1 754,"-0,9"
