Район,К-сть кімнат,Вибірка квартир,"Сер. заг пл., кв.м","Сер. ціна, грн","Сер. ціна, грн/кв.м",Зміна в %,"Сер. ціна, $","Сер. ціна, $/кв.м",Зміна в %
Загалом по Києву,,13 925,73,2 616 679,34 546,"0,5",96 340,1 272,"-0,1"
,1-кімн.,3 454,43,1 462 688,33 467,"0,1",53 853,1 232,"-0,5"
,2-кімн.,4 464,65,2 356 145,35 530,"1,1",86 748,1 308,"0,5"
,3-кімн.,4 815,89,3 207 070,34 110,"0,4",118 077,1 256,"-0,2"
,4-кімн.,1 192,121,4 551 395,35 749,"0,1",167 572,1 316,"-0,5"
Голосіївський,,1 942,73,2 602 226,34 294,"0,1",95 808,1 263,"-0,5"
,1-кімн.,544,43,1 450 133,32 922,"0,6",53 391,1 212,"0,0"
,2-кімн.,645,67,2 387 721,34 953,"1,0",87 911,1 287,"0,4"
,3-кімн.,600,92,3 269 716,34 214,"-1,4",120 384,1 260,"-2,0"
,4-кімн.,153,130,4 985 240,36 702,"0,2",183 545,1 351,"-0,4"
Дарницький,,1 971,73,2 018 349,27 685,"0,8",74 311,1 019,"0,2"
,1-кімн.,494,42,1 268 532,29 499,"1,3",46 705,1 086,"0,7"
,2-кімн.,590,66,1 885 838,28 280,"0,6",69 432,1 041,"0,0"
,3-кімн.,707,90,2 414 227,26 519,"0,7",88 886,976,"0,1"
,4-кімн.,180,115,2 955 604,25 335,"1,0",108 819,933,"0,4"
Деснянський,,701,66,1 472 129,22 917,"1,4",54 201,844,"0,8"
,1-кімн.,158,39,981 819,25 389,"0,6",36 148,935,"0,0"
,2-кімн.,179,59,1 434 547,24 509,"1,7",52 817,902,"1,1"
,3-кімн.,291,78,1 680 582,21 500,"2,0",61 875,792,"1,4"
,4-кімн.,73,93,1 794 550,19 311,"-0,9",66 071,711,"-1,5"
Дніпровський,,1 522,64,1 802 191,28 109,"0,8",66 353,1 035,"0,2"
,1-кімн.,468,42,1 226 062,29 283,"-0,3",45 141,1 078,"-0,9"
,2-кімн.,510,62,1 727 682,27 805,"0,5",63 609,1 024,"-0,1"
,3-кімн.,454,80,2 206 141,27 177,"1,8",81 225,1 001,"1,2"
,4-кімн.,90,107,3 182 585,28 439,"1,7",117 176,1 047,"1,2"
Оболонський,,952,71,2 553 813,34 002,"0,8",94 026,1 252,"0,2"
,1-кімн.,224,42,1 559 725,35 509,"0,5",57 426,1 307,"0,0"
,2-кімн.,258,62,2 130 320,33 636,"1,5",78 434,1 238,"0,9"
,3-кімн.,379,85,2 995 237,32 800,"1,2",110 278,1 208,"0,6"
,4-кімн.,91,112,4 363 020,36 334,"-2,9",160 637,1 338,"-3,5"
Печерський,,1 728,84,4 693 327,54 903,"0,6",172 798,2 021,"0,01"
,1-кімн.,306,47,2 571 038,53 250,"0,8",94 660,1 961,"0,2"
,2-кімн.,632,70,3 984 253,56 126,"1,8",146 691,2 066,"1,2"
,3-кімн.,622,103,5 754 420,55 042,"-0,7",211 865,2 027,"-1,3"
,4-кімн.,168,137,7 297 824,52 794,"0,6",268 690,1 944,"0,0"
Подільський,,864,65,2 159 723,31 977,"0,5",79 516,1 177,"-0,1"
,1-кімн.,272,41,1 311 401,31 094,"1,0",48 283,1 145,"0,4"
,2-кімн.,273,62,2 132 541,33 391,"1,3",78 515,1 229,"0,7"
,3-кімн.,261,83,2 679 646,31 281,"-0,2",98 659,1 152,"-0,8"
,4-кімн.,58,115,3 926 352,32 594,"-2,2",144 560,1 200,"-2,7"
Святошинський,,977,66,1 701 528,25 780,"0,7",62 646,949,"0,2"
,1-кімн.,223,39,1 047 247,26 773,"-1,6",38 557,986,"-2,1"
,2-кімн.,310,61,1 575 487,25 684,"1,6",58 006,946,"1,0"
,3-кімн.,363,79,2 043 940,25 525,"1,5",75 253,940,"0,9"
,4-кімн.,81,98,2 450 679,24 552,"1,4",90 229,904,"0,8"
Солом'янський,,1 482,70,2 228 376,30 770,"0,6",82 044,1 133,"0,04"
,1-кімн.,426,43,1 378 952,30 889,"-0,9",50 770,1 137,"-1,4"
,2-кімн.,449,62,1 977 381,31 216,"1,6",72 803,1 149,"1,0"
,3-кімн.,509,90,2 820 770,30 154,"0,8",103 854,1 110,"0,2"
,4-кімн.,98,124,3 993 913,31 409,"1,6",147 047,1 156,"1,1"
Шевченківський,,1 786,80,3 504 213,42 209,"0,4",129 017,1 554,"-0,2"
,1-кімн.,339,43,1 751 876,40 005,"-0,6",64 500,1 473,"-1,2"
,2-кімн.,618,65,2 752 598,41 366,"0,7",101 345,1 523,"0,1"
,3-кіімн.,629,96,4 278 476,42 805,"0,1",157 524,1 576,"-0,5"
,4-кімн.,200,135,6 361 855,46 675,"0,7",234 229,1 718,"0,2"
