Район,К-сть кімнат,Вибірка квартир,"Сер. заг пл., кв.м","Сер. ціна, грн","Сер. ціна, грн/кв.м",Зміна в %,"Сер. ціна, $","Сер. ціна, $/кв.м",Зміна в %
Загалом по Києву,,10 380,77,2 703 792,33 567,"-1,9",115 153,1 430,"1,3"
,1-кімн.,2 343,43,1 447 666,32 583,"-2,0",61 655,1 388,"1,2"
,2-кімн.,3 222,67,2 357 834,34 178,"-2,4",100 419,1 456,"0,8"
,3-кімн.,3 787,94,3 289 269,33 602,"-1,5",140 088,1 431,"1,7"
,4-кімн.,1 028,128,4 494 240,33 763,"-1,7",191 407,1 438,"1,5"
Голосіївський,,1 463,76,2 528 752,31 832,"-2,6",107 698,1 356,"0,6"
,1-кімн.,391,43,1 301 693,29 451,"-4,7",55 438,1 254,"-1,6"
,2-кімн.,458,69,2 294 742,32 645,"-2,5",97 732,1 390,"0,7"
,3-кімн.,491,95,3 216 075,32 650,"-1,6",136 971,1 391,"1,7"
,4-кімн.,123,134,4 557 047,33 112,"-1,4",194 082,1 410,"1,9"
Дарницький,,1 508,76,1 981 568,26 030,"-1,7",84 394,1 109,"1,5"
,1-кімн.,378,43,1 223 635,27 748,"-1,3",52 114,1 182,"1,9"
,2-кімн.,434,68,1 803 033,26 384,"-1,4",76 790,1 124,"1,9"
,3-кімн.,546,94,2 393 905,25 113,"-2,7",101 955,1 070,"0,5"
,4-кімн.,150,119,2 907 215,24 011,"-2,2",123 817,1 023,"1,0"
Деснянський,,460,66,1 395 219,21 373,"-1,8",59 422,910,"1,4"
,1-кімн.,102,39,900 048,23 086,"-2,2",38 333,983,"1,0"
,2-кімн.,119,59,1 329 503,22 508,"-1,9",56 623,959,"1,4"
,3-кімн.,195,78,1 611 560,20 452,"-2,1",68 635,871,"1,2"
,4-кімн.,44,95,1 762 067,18 412,"-2,3",75 045,784,"0,9"
Дніпровський,,966,68,1 822 385,26 889,"-2,7",77 614,1 145,"0,4"
,1-кімн.,250,41,1 230 840,29 615,"-1,6",52 421,1 261,"1,6"
,2-кімн.,312,62,1 697 509,26 966,"-3,2",72 296,1 148,"0,0"
,3-кімн.,319,83,2 134 431,25 306,"-2,7",90 904,1 078,"0,5"
,4-кімн.,85,112,2 849 505,24 530,"-2,2",121 359,1 045,"1,0"
Оболонський,,616,78,2 716 791,32 529,"-2,7",115 707,1 385,"0,5"
,1-кімн.,136,44,1 376 057,30 952,"-8,0",58 605,1 318,"-5,0"
,2-кімн.,161,65,2 068 804,31 577,"0,1",88 109,1 345,"3,4"
,3-кімн.,236,89,3 034 226,31 977,"-1,6",129 226,1 362,"1,6"
,4-кімн.,83,130,5 268 007,38 532,"-2,9",224 361,1 641,"0,3"
Печерський,,1 652,91,4 654 506,50 965,"-3,1",198 233,2 171,"0,1"
,1-кімн.,267,50,2 559 635,51 495,"-1,8",109 013,2 193,"1,4"
,2-кімн.,528,74,3 827 942,51 621,"-3,1",163 030,2 198,"0,1"
,3-кімн.,667,106,5 541 480,51 393,"-3,7",236 009,2 189,"-0,6"
,4-кімн.,190,144,6 781 578,46 893,"-2,5",288 824,1 997,"0,6"
Подільський,,652,70,2 315 879,32 025,"1,1",98 632,1 364,"4,4"
,1-кімн.,170,42,1 337 426,31 754,"1,2",56 960,1 352,"4,5"
,2-кімн.,216,65,2 141 363,32 376,"-1,6",91 199,1 379,"1,6"
,3-кімн.,223,89,2 930 212,31 874,"4,6",124 796,1 358,"8,0"
,4-кімн.,43,115,3 874 865,32 110,"-3,5",165 028,1 368,"-0,4"
Святошинський,,623,69,1 692 518,24 481,"-1,7",72 083,1 043,"1,5"
,1-кімн.,129,41,1 046 568,25 932,"-0,1",44 573,1 104,"3,2"
,2-кімн.,200,62,1 498 510,24 185,"-3,1",63 821,1 030,"0,1"
,3-кімн.,234,82,2 005 425,24 253,"-1,6",85 410,1 033,"1,6"
,4-кімн.,60,106,2 507 664,23 237,"-0,8",106 800,990,"2,4"
Солом'янський,,1 045,74,2 161 653,28 805,"-2,6",92 064,1 227,"0,6"
,1-кімн.,263,41,1 256 403,29 593,"-2,5",53 510,1 260,"0,7"
,2-кімн.,332,65,2 004 166,30 141,"-3,5",85 356,1 284,"-0,4"
,3-кімн.,369,92,2 588 983,27 211,"-2,1",110 263,1 159,"1,1"
,4-кімн.,81,135,3 799 700,28 034,"-2,5",161 827,1 194,"0,7"
Шевченківський,,1 395,83,3 433 164,40 378,"-1,5",146 217,1 720,"1,7"
,1-кімн.,257,45,1 780 156,39 275,"0,8",75 816,1 673,"4,2"
,2-кімн.,462,69,2 800 322,39 939,"-3,2",119 264,1 701,"-0,1"
,3-кіімн.,507,97,4 112 178,41 020,"-0,6",175 135,1 747,"2,7"
,4-кімн.,169,135,5 639 889,41 332,"-2,8",240 200,1 760,"0,4"
