Район,К-сть кімнат,Вибірка квартир,"Сер. заг пл., кв.м","Сер. ціна, грн","Сер. ціна, грн/кв.м",Зміна в %,"Сер. ціна, $","Сер. ціна, $/кв.м",Зміна в %
Загалом по Києву,,10 365,74,3 239 854,42 444,"1,6",113 480,1 487,"1,5"
,1-кімн.,2 654,44,1 946 813,43 961,"2,4",68 190,1 540,"2,2"
,2-кімн.,3 245,66,2 840 842,42 337,"1,9",99 504,1 483,"1,7"
,3-кімн.,3 522,92,3 931 254,41 164,"1,1",137 697,1 442,"0,9"
,4-кімн.,944,126,5 667 201,43 318,"0,9",198 501,1 517,"0,8"
Голосіївський,,1 479,73,3 404 434,45 699,"1,4",119 245,1 601,"1,3"
,1-кімн.,473,45,2 138 205,46 911,"0,7",74 893,1 643,"0,5"
,2-кімн.,471,68,3 101 047,44 563,"1,2",108 618,1 561,"1,0"
,3-кімн.,444,94,4 388 900,44 991,"1,4",153 727,1 576,"1,2"
,4-кімн.,91,136,6 752 986,48 737,"5,4",236 532,1 707,"5,2"
Дарницький,,1 467,76,2 615 363,35 196,"1,00",91 606,1 233,"0,8"
,1-кімн.,352,43,1 713 270,39 282,"2,0",60 009,1 376,"1,8"
,2-кімн.,472,68,2 425 338,35 321,"0,4",84 951,1 237,"0,2"
,3-кімн.,524,94,3 141 744,33 365,"1,9",110 044,1 169,"1,7"
,4-кімн.,119,120,3 719 606,30 679,"-0,1",130 284,1 075,"-0,3"
Деснянський,,475,66,1 760 617,27 384,"0,9",61 668,959,"0,7"
,1-кімн.,102,40,1 256 283,31 483,"2,5",44 003,1 103,"2,4"
,2-кімн.,128,59,1 665 170,28 328,"2,7",58 325,992,"2,5"
,3-кімн.,202,78,1 999 923,25 697,"1,6",70 050,900,"1,4"
,4-кімн.,43,93,2 116 882,22 773,"-1,0",74 146,798,"-1,2"
Дніпровський,,1 205,65,2 297 329,35 689,"1,3",80 467,1 250,"1,1"
,1-кімн.,376,41,1 622 680,39 321,"1,0",56 836,1 377,"0,8"
,2-кімн.,358,61,2 135 143,34 777,"2,2",74 786,1 218,"2,0"
,3-кімн.,374,80,2 754 975,33 682,"1,5",96 496,1 180,"1,4"
,4-кімн.,97,109,3 746 519,32 713,"0,2",131 227,1 146,"0,0"
Оболонський,,712,75,3 121 821,40 076,"0,7",109 346,1 404,"0,5"
,1-кімн.,187,44,1 780 733,40 359,"4,7",62 372,1 414,"4,5"
,2-кімн.,189,65,2 568 108,38 725,"0,3",89 951,1 356,"0,2"
,3-кімн.,256,87,3 572 435,38 881,"-0,6",125 129,1 362,"-0,8"
,4-кімн.,80,128,6 122 796,46 434,"-3,9",214 459,1 626,"-4,1"
Печерський,,1 386,90,5 381 328,59 742,"1,0",188 488,2 093,"0,8"
,1-кімн.,233,52,3 292 366,63 763,"2,8",115 319,2 233,"2,7"
,2-кімн.,446,71,4 230 081,59 301,"1,8",148 164,2 077,"1,7"
,3-кімн.,524,106,6 259 944,58 282,"-0,8",219 262,2 041,"-1,0"
,4-кімн.,183,138,8 331 002,59 875,"1,5",291 804,2 097,"1,3"
Подільський,,684,69,2 830 258,40 882,"3,1",99 133,1 432,"2,9"
,1-кімн.,191,42,1 863 420,43 867,"5,1",65 269,1 536,"4,9"
,2-кімн.,234,63,2 527 357,39 448,"1,4",88 524,1 382,"1,2"
,3-кімн.,209,87,3 500 452,39 661,"4,3",122 608,1 389,"4,1"
,4-кімн.,50,120,5 139 746,41 300,"-1,1",180 026,1 447,"-1,3"
Святошинський,,628,66,2 097 745,32 219,"0,05",73 476,1 129,"-0,1"
,1-кімн.,165,39,1 440 303,36 552,"0,9",50 448,1 280,"0,7"
,2-кімн.,175,59,1 904 128,31 853,"0,01",66 694,1 116,"-0,2"
,3-кімн.,223,80,2 438 234,30 194,"0,02",85 402,1 058,"-0,2"
,4-кімн.,65,105,3 119 772,29 148,"-0,9",109 274,1 021,"-1,1"
Солом'янський,,992,71,2 720 074,37 911,"1,3",95 274,1 328,"1,1"
,1-кімн.,316,42,1 713 136,40 120,"0,7",60 005,1 405,"0,5"
,2-кімн.,283,64,2 510 931,38 242,"0,9",87 949,1 339,"0,8"
,3-кімн.,325,94,3 507 353,36 192,"2,9",122 849,1 268,"2,8"
,4-кімн.,68,129,4 507 049,34 486,"-1,7",157 865,1 208,"-1,9"
Шевченківський,,1 337,79,4 092 568,50 527,"2,5",143 347,1 770,"2,4"
,1-кімн.,259,43,2 235 898,50 846,"1,6",78 315,1 781,"1,5"
,2-кімн.,489,66,3 330 163,49 595,"2,6",116 643,1 737,"2,4"
,3-кіімн.,441,96,5 003 675,50 920,"3,2",175 260,1 784,"3,1"
,4-кімн.,148,136,7 145 915,51 872,"2,3",250 295,1 817,"2,1"
