Район,К-сть кімнат,Вибірка квартир,"Сер. заг пл., кв.м","Сер. ціна, грн","Сер. ціна, грн/кв.м",Зміна в %,"Сер. ціна, $","Сер. ціна, $/кв.м",Зміна в %
Загалом по Києву,,10 393,77,2 825 193,35 610,"0,3",115 267,1 453,"0,7"
,1-кімн.,2 434,43,1 544 349,34 866,"1,6",63 009,1 423,"1,9"
,2-кімн.,3 223,67,2 496 013,36 383,"0,3",101 837,1 484,"0,6"
,3-кімн.,3 753,93,3 451 595,35 419,"-0,2",140 824,1 445,"0,1"
,4-кімн.,983,126,4 684 436,35 646,"-0,1",191 123,1 454,"0,2"
Голосіївський,,1 571,74,2 652 501,34 673,"3,1",108 221,1 415,"3,5"
,1-кімн.,450,43,1 514 983,34 132,"7,8",61 811,1 393,"8,2"
,2-кімн.,510,69,2 459 600,35 127,"2,3",100 351,1 433,"2,6"
,3-кімн.,504,95,3 404 675,34 555,"1,7",138 910,1 410,"2,1"
,4-кімн.,107,132,4 812 935,35 334,"-1,8",196 366,1 442,"-1,4"
Дарницький,,1 553,75,2 066 151,27 601,"0,3",84 298,1 126,"0,7"
,1-кімн.,419,43,1 283 504,29 517,"0,2",52 367,1 204,"0,6"
,2-кімн.,436,67,1 875 103,27 604,"-0,7",76 504,1 126,"-0,3"
,3-кімн.,557,95,2 549 603,26 660,"0,8",104 023,1 088,"1,1"
,4-кімн.,141,118,3 072 841,25 614,"0,4",125 371,1 045,"0,8"
Деснянський,,474,68,1 515 908,22 584,"0,3",61 849,921,"0,6"
,1-кімн.,92,40,986 719,24 712,"1,0",40 258,1 008,"1,4"
,2-кімн.,127,61,1 470 558,23 998,"0,4",59 998,979,"0,8"
,3-кімн.,209,79,1 698 581,21 497,"-1,0",69 302,877,"-0,7"
,4-кімн.,46,97,1 869 527,19 365,"1,8",76 276,790,"2,2"
Дніпровський,,981,67,1 913 578,28 761,"2,1",78 073,1 173,"2,4"
,1-кімн.,270,42,1 347 050,32 077,"3,1",54 959,1 309,"3,5"
,2-кімн.,303,61,1 765 710,28 531,"2,4",72 040,1 164,"2,8"
,3-кімн.,324,83,2 276 005,27 136,"2,0",92 860,1 107,"2,4"
,4-кімн.,84,109,2 870 004,25 206,"-3,6",117 095,1 028,"-3,2"
Оболонський,,616,79,2 904 557,34 904,"-0,3",118 505,1 424,"0,0"
,1-кімн.,129,46,1 522 854,33 148,"0,9",62 132,1 352,"1,3"
,2-кімн.,173,65,2 307 465,34 806,"-2,0",94 144,1 420,"-1,6"
,3-кімн.,230,91,3 265 837,34 161,"-0,3",133 245,1 394,"0,1"
,4-кімн.,84,126,5 266 965,39 837,"-0,2",214 890,1 625,"0,2"
Печерський,,1 577,91,4 961 950,54 441,"1,7",202 446,2 221,"2,1"
,1-кімн.,250,50,2 696 873,54 492,"2,4",110 032,2 223,"2,8"
,2-кімн.,495,73,4 096 845,55 429,"2,3",167 150,2 261,"2,7"
,3-кімн.,645,106,5 880 630,54 948,"1,4",239 928,2 242,"1,8"
,4-кімн.,187,142,7 111 405,50 006,"0,8",290 143,2 040,"1,2"
Подільський,,644,69,2 351 726,33 122,"-0,3",95 950,1 351,"0,1"
,1-кімн.,181,42,1 402 026,32 822,"-0,5",57 202,1 339,"-0,1"
,2-кімн.,218,66,2 292 367,33 857,"0,9",93 528,1 381,"1,3"
,3-кімн.,208,88,2 942 740,32 617,"-2,0",120 063,1 331,"-1,6"
,4-кімн.,37,116,4 024 830,33 103,"2,8",164 212,1 351,"3,2"
Святошинський,,622,69,1 815 946,26 206,"1,2",74 090,1 069,"1,6"
,1-кімн.,124,41,1 133 059,27 937,"2,5",46 228,1 140,"2,9"
,2-кімн.,194,62,1 609 349,26 116,"0,9",65 661,1 066,"1,3"
,3-кімн.,242,81,2 122 642,25 863,"2,2",86 603,1 055,"2,6"
,4-кімн.,62,105,2 631 069,24 368,"-3,4",107 347,994,"-3,0"
Солом'янський,,1 029,73,2 224 198,30 311,"-0,1",90 747,1 237,"0,2"
,1-кімн.,275,41,1 344 293,31 904,"2,6",54 847,1 302,"2,9"
,2-кімн.,314,64,2 074 594,31 663,"-1,2",84 643,1 292,"-0,9"
,3-кімн.,361,92,2 709 076,28 370,"0,3",110 529,1 158,"0,7"
,4-кімн.,79,129,3 666 078,28 259,"-5,2",149 575,1 153,"-4,9"
Шевченківський,,1 326,82,3 652 886,43 487,"0,7",149 037,1 774,"1,1"
,1-кімн.,244,44,1 845 575,41 497,"0,4",75 299,1 693,"0,8"
,2-кімн.,453,68,3 003 168,43 646,"2,0",122 528,1 781,"2,4"
,3-кіімн.,473,97,4 392 024,43 959,"-0,2",179 193,1 794,"0,2"
,4-кімн.,156,137,6 125 285,44 709,,249 910,1 824,"0,9"
