Район,К-сть кімнат,Вибірка квартир,"Сер. заг пл., кв.м","Сер. ціна, грн","Сер. ціна, грн/кв.м",Зміна в %,"Сер. ціна, $","Сер. ціна, $/кв.м",Зміна в %
Загалом по Києву,,13 186,74,2 699 187,34 854,"-0,5",101 856,1 315,"-0,1"
,1-кімн.,3 236,43,1 497 213,33 961,"0,1",56 499,1 282,"0,5"
,2-кімн.,4 185,66,2 409 143,35 519,"-1,1",90 911,1 340,"-0,7"
,3-кімн.,4 606,91,3 323 498,34 690,"-0,3",125 415,1 309,"0,1"
,4-кімн.,1 159,123,4 621 406,35 600,"-0,3",174 393,1 343,"0,1"
Голосіївський,,1 858,74,2 661 291,34 320,"-0,2",100 426,1 295,"0,2"
,1-кімн.,533,44,1 427 194,32 048,"-1,9",53 856,1 209,"-1,5"
,2-кімн.,606,69,2 474 490,35 086,"-0,5",93 377,1 324,"-0,1"
,3-кімн.,563,94,3 412 989,35 105,"1,0",128 792,1 325,"1,4"
,4-кімн.,156,130,4 890 581,36 279,"2,1",184 550,1 369,"2,5"
Дарницький,,1 916,73,2 003 751,27 362,"-0,7",75 613,1 033,"-0,3"
,1-кімн.,500,43,1 256 815,29 011,"-0,5",47 427,1 095,"-0,1"
,2-кімн.,578,68,1 897 633,27 701,"-1,6",71 609,1 045,"-1,2"
,3-кімн.,680,91,2 411 759,26 300,"-0,5",91 010,992,"-0,1"
,4-кімн.,158,116,2 999 697,25 480,"1,0",113 196,962,"1,3"
Деснянський,,651,66,1 479 004,22 572,"-0,7",55 811,852,"-0,3"
,1-кімн.,136,39,964 955,24 585,"-1,3",36 413,928,"-0,9"
,2-кімн.,182,60,1 440 406,23 929,"-1,5",54 355,903,"-1,1"
,3-кімн.,268,79,1 695 953,21 396,"0,2",63 998,807,"0,6"
,4-кімн.,65,91,1 768 127,19 411,"-0,4",66 722,732,"-0,1"
Дніпровський,,1 405,65,1 843 191,28 153,"-0,1",69 554,1 062,"0,2"
,1-кімн.,406,41,1 232 819,29 983,"0,3",46 521,1 131,"0,7"
,2-кімн.,455,63,1 780 516,28 136,"-0,4",67 189,1 062,"0,0"
,3-кімн.,449,81,2 207 690,26 730,"0,1",83 309,1 009,"0,5"
,4-кімн.,95,108,3 029 173,27 138,"-0,4",114 308,1 024,"0,0"
Оболонський,,810,76,2 835 452,35 335,"0,2",106 998,1 333,"0,5"
,1-кімн.,176,43,1 605 275,36 385,"0,2",60 576,1 373,"0,6"
,2-кімн.,222,63,2 232 397,34 084,"1,8",84 241,1 286,"2,2"
,3-кімн.,323,89,3 262 698,34 297,"-1,0",123 121,1 294,"-0,6"
,4-кімн.,89,123,5 221 840,40 149,"1,1",197 051,1 515,"1,4"
Печерський,,1 780,86,4 747 071,54 599,"-1,1",179 135,2 060,"-0,7"
,1-кімн.,334,48,2 658 612,54 779,"-0,1",100 325,2 067,"0,3"
,2-кімн.,615,71,3 938 459,54 689,"-0,6",148 621,2 064,"-0,2"
,3-кімн.,662,105,5 934 923,55 693,"-1,2",223 959,2 102,"-0,8"
,4-кімн.,169,143,7 164 130,49 627,"-4,3",270 345,1 873,"-4,0"
Подільський,,830,69,2 268 887,32 183,"1,3",85 618,1 214,"1,6"
,1-кімн.,249,42,1 370 003,31 973,"0,5",51 698,1 207,"0,9"
,2-кімн.,251,64,2 149 705,33 102,"1,9",81 121,1 249,"2,3"
,3-кімн.,273,87,2 766 116,30 939,"0,4",104 382,1 168,"0,8"
,4-кімн.,57,120,4 338 944,35 007,"5,6",163 734,1 321,"6,0"
Святошинський,,838,67,1 700 642,25 377,"-0,1",64 175,958,"0,3"
,1-кімн.,184,41,1 054 402,26 060,"0,2",39 789,983,"0,6"
,2-кімн.,266,61,1 568 453,25 448,"-0,2",59 187,960,"0,2"
,3-кімн.,314,79,2 000 280,25 101,"-0,6",75 482,947,"-0,2"
,4-кімн.,74,100,2 511 233,24 599,"1,5",94 764,928,"1,9"
Солом'янський,,1 390,71,2 249 134,30 812,"-0,3",84 873,1 163,"0,1"
,1-кімн.,406,42,1 375 261,31 674,"0,7",51 897,1 195,"1,1"
,2-кімн.,427,63,2 038 054,31 271,"-1,2",76 908,1 180,"-0,9"
,3-кімн.,452,92,2 815 226,29 560,"-0,8",106 235,1 115,"-0,4"
,4-кімн.,105,127,4 049 614,30 997,"0,9",152 816,1 170,"1,3"
Шевченківський,,1 708,81,3 556 202,42 464,"-0,6",134 196,1 602,"-0,2"
,1-кімн.,312,44,1 795 258,39 997,"0,1",67 746,1 509,"0,5"
,2-кімн.,583,66,2 862 474,42 169,"-1,3",108 018,1 591,"-1,0"
,3-кіімн.,622,96,4 280 169,43 023,"0,3",161 516,1 624,"0,7"
,4-кімн.,191,134,6 192 591,45 571,"-1,8",233 683,1 720,"-1,5"
