Район,К-сть кімнат,Вибірка квартир,"Сер. заг пл., кв.м","Сер. ціна, грн","Сер. ціна, грн/кв.м",Зміна в %,"Сер. ціна, $","Сер. ціна, $/кв.м",Зміна в %
Загалом по Києву,,10 236,76,3 054 150,38 844,"-3,5",111 669,1 420,"-0,9"
,1-кімн.,2 509,43,1 703 136,38 777,"-4,4",62 272,1 418,"-1,8"
,2-кімн.,3 106,66,2 648 446,38 893,"-3,4",96 835,1 422,"-0,7"
,3-кімн.,3 655,93,3 759 214,38 587,"-3,3",137 448,1 411,"-0,6"
,4-кімн.,966,126,5 199 910,39 835,"-2,5",190 125,1 456,"0,1"
Голосіївський,,1 592,73,2 920 208,38 565,"-4,5",106 772,1 410,"-1,9"
,1-кімн.,457,43,1 651 763,37 900,"-6,1",60 394,1 386,"-3,6"
,2-кімн.,526,67,2 687 950,38 874,"-4,0",98 280,1 421,"-1,4"
,3-кімн.,505,95,3 783 247,38 493,"-4,0",138 327,1 407,"-1,3"
,4-кімн.,104,133,5 478 015,40 269,"-2,1",200 293,1 472,"0,6"
Дарницький,,1 543,76,2 327 332,31 008,"-3,1",85 094,1 134,"-0,4"
,1-кімн.,406,43,1 446 381,33 208,"-3,8",52 884,1 214,"-1,1"
,2-кімн.,432,68,2 111 243,31 074,"-2,3",77 194,1 136,"0,4"
,3-кімн.,560,94,2 846 649,29 939,"-3,0",104 082,1 095,"-0,3"
,4-кімн.,145,118,3 432 154,28 775,"-3,5",125 490,1 052,"-0,9"
Деснянський,,461,67,1 656 266,25 285,"-2,1",60 558,924,"0,6"
,1-кімн.,94,40,1 127 760,28 619,"0,9",41 234,1 046,"3,6"
,2-кімн.,126,61,1 610 246,26 599,"-2,8",58 876,973,"-0,2"
,3-кімн.,196,78,1 863 492,23 818,"-2,5",68 135,871,"0,2"
,4-кімн.,45,95,1 986 522,21 031,"-3,5",72 633,769,"-0,8"
Дніпровський,,1 025,66,2 068 452,31 503,"-4,1",75 629,1 152,"-1,5"
,1-кімн.,312,42,1 432 123,34 135,"-7,1",52 363,1 248,"-4,5"
,2-кімн.,315,62,1 889 171,30 597,"-4,3",69 074,1 119,"-1,7"
,3-кімн.,311,83,2 553 145,30 420,"-3,1",93 351,1 112,"-0,4"
,4-кімн.,87,107,3 266 941,29 221,"-0,1",119 449,1 068,"2,7"
Оболонський,,639,78,3 175 789,38 370,"-3,9",116 117,1 403,"-1,2"
,1-кімн.,147,44,1 595 599,36 277,"-6,4",58 340,1 326,"-3,8"
,2-кімн.,166,66,2 455 962,36 715,"-3,5",89 798,1 342,"-0,9"
,3-кімн.,237,89,3 574 511,38 092,"-2,8",130 695,1 393,"-0,1"
,4-кімн.,89,128,6 066 598,45 652,"-4,0",221 813,1 669,"-1,4"
Печерський,,1 465,91,5 274 777,57 360,"-3,0",192 862,2 097,"-0,4"
,1-кімн.,256,50,2 919 331,57 831,"-4,3",106 740,2 114,"-1,7"
,2-кімн.,447,73,4 155 403,56 197,"-2,2",151 934,2 055,"0,5"
,3-кімн.,583,108,6 380 514,58 521,"-2,9",233 291,2 140,"-0,2"
,4-кімн.,179,141,7 837 396,55 808,"-3,4",286 559,2 041,"-0,7"
Подільський,,700,71,2 592 074,36 068,"-1,8",94 774,1 319,"0,8"
,1-кімн.,198,42,1 573 327,36 742,"-1,3",57 526,1 343,"1,4"
,2-кімн.,223,66,2 465 386,36 352,"-0,8",90 142,1 329,"1,9"
,3-кімн.,232,89,3 244 603,35 410,"-2,5",118 633,1 295,"0,2"
,4-кімн.,47,118,4 263 921,35 125,"-6,7",155 902,1 284,"-4,1"
Святошинський,,577,68,2 005 164,29 690,"-1,8",73 315,1 086,"0,9"
,1-кімн.,128,39,1 243 267,32 097,"-0,9",45 458,1 174,"1,8"
,2-кімн.,172,60,1 791 919,29 777,"-1,8",65 518,1 089,"0,9"
,3-кімн.,219,81,2 358 238,28 752,"-2,8",86 224,1 051,"-0,1"
,4-кімн.,58,105,2 985 818,27 657,"-2,3",109 171,1 011,"0,4"
Солом'янський,,977,72,2 478 551,34 346,"-2,2",90 623,1 256,"0,4"
,1-кімн.,267,41,1 567 421,37 052,"-0,5",57 310,1 355,"2,2"
,2-кімн.,288,63,2 280 273,35 348,"-3,8",83 374,1 292,"-1,2"
,3-кімн.,351,90,2 953 522,31 629,"-2,4",107 990,1 156,"0,3"
,4-кімн.,71,131,4 361 096,33 533,"0,4",159 455,1 226,"3,1"
Шевченківський,,1 257,81,3 968 722,47 685,"-3,1",145 109,1 744,"-0,5"
,1-кімн.,244,43,2 078 643,48 093,"-2,9",76 002,1 758,"-0,2"
,2-кімн.,411,67,3 217 299,47 003,"-3,9",117 634,1 719,"-1,3"
,3-кіімн.,461,98,4 778 971,47 600,"-2,6",174 734,1 740,"0,1"
,4-кімн.,141,137,6 780 705,49 244,"-2,7",247 923,1 801,"-0,03"
