Район,К-сть кімнат,Вибірка квартир,"Сер. заг пл., кв.м","Сер. ціна, грн","Сер. ціна, грн/кв.м",Зміна в %,"Сер. ціна, $","Сер. ціна, $/кв.м",Зміна в %
Загалом по Києву,,9 986,75,3 312 101,42 846,"0,9",117 035,1 514,"1,8"
,1-кімн.,2 523,43,1 922 494,43 818,"-0,3",67 933,1 548,"0,6"
,2-кімн.,3 159,65,2 832 617,42 567,"0,5",100 092,1 504,"1,4"
,3-кімн.,3 388,93,4 058 822,41 904,"1,8",143 421,1 481,"2,7"
,4-кімн.,916,129,6 031 283,44 622,"3,0",213 120,1 577,"3,9"
Голосіївський,,1 360,74,3 471 374,45 457,"-0,5",122 663,1 606,"0,3"
,1-кімн.,424,44,2 047 678,45 813,"-2,3",72 356,1 619,"-1,5"
,2-кімн.,424,66,2 901 651,43 189,"-3,1",102 532,1 526,"-2,2"
,3-кімн.,417,96,4 623 654,46 349,"3,0",163 380,1 638,"3,9"
,4-кімн.,95,141,7 310 418,50 076,"2,7",258 319,1 769,"3,7"
Дарницький,,1 384,75,2 613 374,35 214,"0,10",92 345,1 244,"0,9"
,1-кімн.,338,43,1 681 047,39 031,"-0,6",59 401,1 379,"0,2"
,2-кімн.,434,68,2 436 706,35 669,"1,0",86 103,1 260,"1,9"
,3-кімн.,495,93,3 093 845,33 003,"-1,1",109 323,1 166,"-0,2"
,4-кімн.,117,122,3 929 335,31 851,"3,8",138 846,1 125,"4,7"
Деснянський,,439,66,1 762 726,27 244,"-0,5",62 287,963,"0,4"
,1-кімн.,94,41,1 259 681,31 038,"-1,4",44 512,1 097,"-0,5"
,2-кімн.,116,58,1 646 367,28 210,"-0,4",58 176,997,"0,5"
,3-кімн.,194,78,1 988 688,25 450,"-1,0",70 272,899,"-0,1"
,4-кімн.,35,94,2 246 939,23 803,"4,5",79 397,841,"5,4"
Дніпровський,,1 134,65,2 351 378,36 091,"1,1",83 088,1 275,"2,0"
,1-кімн.,347,41,1 590 893,39 288,"-0,1",56 215,1 388,"0,8"
,2-кімн.,338,61,2 188 514,35 662,"2,5",77 333,1 260,"3,5"
,3-кімн.,354,82,2 884 942,34 351,"2,0",101 941,1 214,"2,9"
,4-кімн.,95,109,3 720 372,32 421,"-0,9",131 462,1 146,"0,0"
Оболонський,,668,77,3 220 629,40 071,"0,0",113 803,1 416,"0,9"
,1-кімн.,168,44,1 747 959,39 746,"-1,5",61 765,1 404,"-0,6"
,2-кімн.,190,66,2 608 699,38 724,"0,0",92 180,1 368,"0,9"
,3-кімн.,232,91,3 722 327,38 949,"0,2",131 531,1 376,"1,1"
,4-кімн.,78,132,6 390 902,47 389,"2,1",225 827,1 675,"3,0"
Печерський,,1 421,92,5 581 352,60 315,"1,0",197 221,2 131,"1,9"
,1-кімн.,225,51,3 293 168,64 286,"0,8",116 366,2 272,"1,7"
,2-кімн.,454,70,4 177 233,59 127,"-0,3",147 605,2 089,"0,6"
,3-кімн.,548,107,6 460 724,59 181,"1,5",228 294,2 091,"2,4"
,4-кімн.,194,144,9 037 103,61 690,"3,0",319 332,2 180,"3,9"
Подільський,,689,68,2 846 498,41 277,"1,0",100 583,1 459,"1,9"
,1-кімн.,203,42,1 852 664,43 641,"-0,5",65 465,1 542,"0,4"
,2-кімн.,232,63,2 563 335,40 203,"1,9",90 577,1 421,"2,8"
,3-кімн.,204,86,3 483 443,39 612,"-0,1",123 090,1 400,"0,8"
,4-кімн.,50,124,5 596 611,43 456,"5,2",197 760,1 536,"6,1"
Святошинський,,623,66,2 100 271,32 219,"0,0",74 215,1 138,"0,9"
,1-кімн.,168,39,1 420 222,36 167,"-1,1",50 185,1 278,"-0,2"
,2-кімн.,176,60,1 944 607,31 948,"0,3",68 714,1 129,"1,2"
,3-кімн.,221,80,2 448 282,30 222,"0,1",86 512,1 068,"1,0"
,4-кімн.,58,108,3 216 383,29 209,"0,20",113 653,1 032,"1,1"
Солом'янський,,922,70,2 665 767,37 814,"-0,3",94 197,1 336,"0,6"
,1-кімн.,278,42,1 740 690,40 812,"1,7",61 508,1 442,"2,6"
,2-кімн.,288,62,2 374 797,37 417,"-2,2",83 915,1 322,"-1,3"
,3-кімн.,288,92,3 438 877,36 185,"0,0",121 515,1 279,"0,9"
,4-кімн.,68,126,4 405 703,34 135,"-1,0",155 679,1 206,"-0,1"
Шевченківський,,1 346,78,4 076 028,50 942,"0,8",144 029,1 800,"1,7"
,1-кімн.,278,43,2 195 588,50 225,"-1,2",77 583,1 775,"-0,3"
,2-кімн.,507,67,3 386 015,50 142,"1,1",119 647,1 772,"2,0"
,3-кіімн.,435,96,5 146 097,51 860,"1,8",181 841,1 833,"2,7"
,4-кімн.,126,137,7 307 128,52 577,"1,4",258 202,1 858,"2,3"
